03.03.2020 00:10:31: 0h 4min | Wyclef(76561198038112694) | Teleport to [3607.18,3992.69,0](GPS: 036009)
03.03.2020 18:49:45: 6h 49min | Nino Marino(76561198206026112) | Teleport to [5439.25,3046.95,0](GPS: 054999)
03.03.2020 18:50:00: 6h 49min | Nino Marino(76561198206026112) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
03.03.2020 18:55:23: 6h 55min | Donnie Turbo(76561198041233395) | DayTime
03.03.2020 18:57:27: 6h 57min | Donnie Turbo(76561198041233395) | Teleport to [3390.4,4163.94,0](GPS: 033010)
03.03.2020 18:58:28: 6h 58min | Nino Marino(76561198206026112) | Teleport to [3582.87,3193.43,0](GPS: 035001)
03.03.2020 18:58:49: 6h 58min | Nino Marino(76561198206026112) | Teleport to [5439.69,3047.28,0](GPS: 054999)
03.03.2020 18:59:33: 6h 59min | Donnie Turbo(76561198041233395) | Teleport to [5441.54,3009.6,0](GPS: 054999)
03.03.2020 19:01:53: 7h 1min | Nino Marino(76561198206026112) | Teleport to [3884.61,2977.44,0](GPS: 038999)
03.03.2020 19:01:56: 7h 1min | Donnie Turbo(76561198041233395) | Teleport to [3584.99,3244.08,0](GPS: 035001)
03.03.2020 19:04:23: 7h 4min | Nino Marino(76561198206026112) | Teleport to [5435.82,3049.66,0](GPS: 054999)
03.03.2020 19:04:46: 7h 4min | Nino Marino(76561198206026112) | Teleport to [3437.08,3183.91,0](GPS: 034001)
03.03.2020 19:17:37: 7h 17min | Nino Marino(76561198206026112) | Deleting d3s_zonda_18_R @036002..
03.03.2020 19:20:22: 7h 20min | Nino Marino(76561198206026112) | Vehicle God Mode - 1
03.03.2020 19:20:23: 7h 20min | Nino Marino(76561198206026112) | God Mode - 0
03.03.2020 19:20:24: 7h 20min | Nino Marino(76561198206026112) | Vehicle God Mode - 0
03.03.2020 19:20:46: 7h 20min | Nino Marino(76561198206026112) | Added 4 zipties to Nino Marino!
03.03.2020 19:21:00: 7h 20min | Nino Marino(76561198206026112) | Deleting luke(76561198264871362) vehicle: d3s_veyron_12 @036002..
03.03.2020 19:23:28: 7h 23min | Nino Marino(76561198206026112) | Teleport to [5444.86,3051.36,0](GPS: 054999)
03.03.2020 19:24:00: 7h 23min | Donnie Turbo(76561198041233395) | HealRepairNear
03.03.2020 19:24:00: 7h 23min | Donnie Turbo(76561198041233395) | HealRepairNear
03.03.2020 19:28:22: 7h 28min | Nino Marino(76561198206026112) | Teleport - Me To Target - John Anderson [CIV](76561198180893505)
03.03.2020 19:30:32: 7h 30min | Donnie Turbo(76561198041233395) | HealRepairNear
03.03.2020 19:30:33: 7h 30min | Donnie Turbo(76561198041233395) | HealRepairNear
03.03.2020 19:30:39: 7h 30min | Donnie Turbo(76561198041233395) | Heal - civ_3(76561198041233395)
03.03.2020 19:30:41: 7h 30min | Donnie Turbo(76561198041233395) | Heal - civ_5(76561198264871362)
03.03.2020 19:31:05: 7h 30min | Donnie Turbo(76561198041233395) | HealRepairNear
03.03.2020 19:31:05: 7h 30min | Donnie Turbo(76561198041233395) | HealRepairNear
03.03.2020 19:31:33: 7h 31min | Nino Marino(76561198206026112) | Teleport to [3423,4219.59,0](GPS: 034011)
03.03.2020 19:31:40: 7h 31min | Nino Marino(76561198206026112) | Teleport to [3419.56,4219.87,0](GPS: 034011)
03.03.2020 19:34:17: 7h 33min | Nino Marino(76561198206026112) | Revive - civ_5(76561198264871362)
03.03.2020 19:37:39: 7h 37min | Nino Marino(76561198206026112) | Revive - civ_5(76561198264871362)
03.03.2020 19:40:05: 7h 39min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on John Anderson(76561198180893505) - DELTA_Caterpillar_CT610
03.03.2020 19:43:59: 7h 43min | Nino Marino(76561198206026112) | Teleport to [2762.17,917.256,0](GPS: 027978)
03.03.2020 19:44:05: 7h 43min | Nino Marino(76561198206026112) | HealRepairNear
03.03.2020 19:44:05: 7h 43min | Nino Marino(76561198206026112) | HealRepairNear
03.03.2020 19:50:00: 7h 49min | Nino Marino(76561198206026112) | Teleport to [3491.93,4495.46,0](GPS: 034014)
03.03.2020 19:50:07: 7h 49min | Nino Marino(76561198206026112) | Teleport to [3494.06,4487.84,0](GPS: 034014)
03.03.2020 19:52:47: 7h 52min | Nino Marino(76561198206026112) | Teleport to [3437.42,4222.12,0](GPS: 034011)
03.03.2020 19:53:18: 7h 52min | Nino Marino(76561198206026112) | Teleport to [3499.21,4489.99,0](GPS: 034014)
03.03.2020 20:02:54: 8h 2min | Donnie Turbo(76561198041233395) | Teleport to [3569.29,3144.23,0](GPS: 035000)
03.03.2020 20:05:37: 8h 5min | Nino Marino(76561198206026112) | HealRepairNear
03.03.2020 20:05:37: 8h 5min | Nino Marino(76561198206026112) | HealRepairNear
03.03.2020 20:06:06: 8h 5min | Nino Marino(76561198206026112) | God Mode - 1
03.03.2020 20:06:08: 8h 5min | Nino Marino(76561198206026112) | God Mode - 0
03.03.2020 20:15:32: 8h 15min | Donnie Turbo(76561198041233395) | Teleport to [3510.3,3016.76,0](GPS: 035999)
03.03.2020 20:26:00: 8h 25min | Donnie Turbo(76561198041233395) | Deleting C_IDAP_Van_02_medevac_F @035999..
03.03.2020 20:32:44: 8h 32min | Wyclef(76561198038112694) | Teleport to [3563.73,3022.73,0](GPS: 035999)
03.03.2020 20:53:42: 8h 53min | Wyclef(76561198038112694) | Added 1 zipties to Wyclef!
03.03.2020 20:58:47: 8h 58min | Wyclef(76561198038112694) | Revive - civ_1(76561198091943121)
03.03.2020 21:02:27: 9h 2min | Wyclef(76561198038112694) | unlocked - [d3s_raptor_UNM_17]
03.03.2020 21:02:28: 9h 2min | Wyclef(76561198038112694) | locked - [d3s_raptor_UNM_17]
03.03.2020 21:02:54: 9h 2min | Wyclef(76561198038112694) | HealRepairNear
03.03.2020 21:03:11: 9h 2min | Donnie Turbo(76561198041233395) | spawning Axe (Max_axe)
03.03.2020 21:03:21: 9h 3min | Wyclef(76561198038112694) | unlocked - [d3s_raptor_UNM_17]
03.03.2020 21:03:22: 9h 3min | Wyclef(76561198038112694) | locked - [d3s_raptor_UNM_17]
03.03.2020 21:04:37: 9h 4min | Wyclef(76561198038112694) | Revive - civ_6()
03.03.2020 21:04:39: 9h 4min | Wyclef(76561198038112694) | Revive - civ_6(76561198038112694)
03.03.2020 21:04:42: 9h 4min | Donnie Turbo(76561198041233395) | unlocked - [d3s_raptor_UNM_17]
03.03.2020 21:04:46: 9h 4min | Donnie Turbo(76561198041233395) | locked - [d3s_raptor_UNM_17]
03.03.2020 21:09:48: 9h 9min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198041233395)
03.03.2020 21:17:09: 9h 16min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035001..
03.03.2020 21:20:25: 9h 20min | Donnie Turbo(76561198041233395) | Killing luke(76561198264871362) @035001
03.03.2020 21:20:25: 9h 20min | Donnie Turbo(76561198041233395) | Kill - civ_5(76561198264871362)
03.03.2020 21:20:56: 9h 20min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198264871362)
03.03.2020 21:21:09: 9h 20min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198264871362)
03.03.2020 21:30:09: 9h 29min | Donnie Turbo(76561198041233395) | Heal - cop_1(76561198860031547)
03.03.2020 21:31:33: 9h 31min | Donnie Turbo(76561198041233395) | Heal - cop_1(76561198860031547)
03.03.2020 21:31:36: 9h 31min | Donnie Turbo(76561198041233395) | Heal - cop_2(76561198272370927)
03.03.2020 21:31:40: 9h 31min | Donnie Turbo(76561198041233395) | Heal - civ_3(76561198041233395)
03.03.2020 21:34:12: 9h 33min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198264871362)
03.03.2020 21:47:54: 9h 47min | Jbo Marino[201](76561198206026112) | locked - [DELTA_Peterbilt_389]
03.03.2020 21:48:34: 9h 48min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @033011..
03.03.2020 22:07:28: 10h 7min | Donnie Turbo(76561198041233395) | Deleting John Anderson(76561198180893505) vehicle: C_man_1 @038001..
03.03.2020 22:43:27: 10h 43min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
03.03.2020 22:43:38: 10h 43min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
03.03.2020 22:43:40: 10h 43min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
03.03.2020 22:44:07: 10h 43min | Jbo Marino[201](76561198206026112) | Added 20 heroin_processeds to luke!
03.03.2020 22:44:09: 10h 43min | Jbo Marino[201](76561198206026112) | Added 20 heroin_processeds to luke!
03.03.2020 22:44:22: 10h 44min | Jbo Marino[201](76561198206026112) | Added 20 heroin_processeds to luke!
03.03.2020 22:45:40: 10h 45min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
03.03.2020 22:45:53: 10h 45min | Jbo Marino[201](76561198206026112) | Added 20 heroin_processeds to luke!
03.03.2020 22:45:54: 10h 45min | Jbo Marino[201](76561198206026112) | Added 20 heroin_processeds to luke!
03.03.2020 22:46:18: 10h 46min | Jbo Marino[201](76561198206026112) | Added 20 heroin_processeds to luke!
03.03.2020 22:46:27: 10h 46min | Jbo Marino[201](76561198206026112) | Added 20 heroin_processeds to luke!
03.03.2020 22:46:38: 10h 46min | Jbo Marino[201](76561198206026112) | Added 5 heroin_processeds to luke!
03.03.2020 22:46:41: 10h 46min | Jbo Marino[201](76561198206026112) | Added 5 heroin_processeds to luke!
03.03.2020 22:46:44: 10h 46min | Jbo Marino[201](76561198206026112) | Added 5 heroin_processeds to luke!
03.03.2020 22:48:43: 10h 48min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
03.03.2020 22:59:35: 10h 59min | Jbo Marino[201](76561198206026112) | Revive - medic_6(76561198206026112)
03.03.2020 23:02:01: 11h 1min | Jbo Marino[201](76561198206026112) | Teleport to [3634.17,3309.66,0](GPS: 036002)
03.03.2020 23:03:16: 11h 3min | Jbo Marino[201](76561198206026112) | Teleport to [3494.13,3009.57,0](GPS: 034999)
