22.01.2020 01:20:14: 17h 22min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
22.01.2020 03:12:08: 19h 14min | Nino Marino(76561198206026112) | Teleport to [3520.43,3037.9,0](GPS: 035999)
22.01.2020 03:16:53: 19h 19min | Nino Marino(76561198206026112) | spawning Titan MPRL (Sand) (launch_B_Titan_F)
22.01.2020 03:17:29: 19h 20min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
22.01.2020 03:19:21: 19h 21min | Nino Marino(76561198206026112) | Teleport to [3538.62,2692.58,0](GPS: 035996)
22.01.2020 03:20:14: 19h 22min | Nino Marino(76561198206026112) | Teleport to [5260.36,2936.97,0](GPS: 052998)
22.01.2020 03:20:33: 19h 23min | Nino Marino(76561198206026112) | Teleport to [3912.08,3227.95,0](GPS: 039001)
22.01.2020 03:20:55: 19h 23min | Nino Marino(76561198206026112) | Teleport to [3550.85,3008.43,0](GPS: 035999)
22.01.2020 03:21:20: 19h 23min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198264871362)
22.01.2020 03:21:26: 19h 23min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198180893505)
22.01.2020 03:21:28: 19h 23min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @035999..
22.01.2020 03:22:51: 19h 25min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198180893505)
22.01.2020 03:23:35: 19h 26min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198180893505)
22.01.2020 03:24:08: 19h 26min | Nino Marino(76561198206026112) | God Mode - 1
22.01.2020 03:24:33: 19h 27min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198041233395)
22.01.2020 03:25:02: 19h 27min | Nino Marino(76561198206026112) | Revive - civ_2(76561198264871362)
22.01.2020 03:34:07: 19h 36min | Nino Marino(76561198206026112) | Revive - medic_1(76561198180893505)
22.01.2020 03:34:25: 19h 36min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198180893505)
22.01.2020 03:35:18: 19h 37min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198041233395)
22.01.2020 03:35:21: 19h 37min | Nino Marino(76561198206026112) | Revive - civ_3(76561198041233395)
22.01.2020 03:36:59: 19h 39min | Nino Marino(76561198206026112) | Deleting Donnie Turbo(76561198041233395) vehicle: C_man_1 @035999..
22.01.2020 03:37:01: 19h 39min | Nino Marino(76561198206026112) | Deleting C_man_1 @035999..
22.01.2020 03:37:10: 19h 39min | Donnie Turbo(76561198041233395) | Deleting C_man_1 @035999..
22.01.2020 03:37:18: 19h 39min | Donnie Turbo(76561198041233395) | Deleting B_RangeMaster_F @035999..
22.01.2020 03:37:30: 19h 40min | Nino Marino(76561198206026112) | Teleport to [3847.82,3272.83,0](GPS: 038002)
22.01.2020 03:38:03: 19h 40min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
22.01.2020 03:38:09: 19h 40min | Donnie Turbo(76561198041233395) | Deleting Land_HeliPad @035999..
22.01.2020 03:39:02: 19h 41min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
22.01.2020 03:39:03: 19h 41min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
22.01.2020 03:41:23: 19h 43min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
22.01.2020 03:41:24: 19h 43min | Nino Marino(76561198206026112) | God Mode - 0
22.01.2020 03:41:43: 19h 44min | Nino Marino(76561198206026112) | Teleport to [3530.8,2992.28,0](GPS: 035999)
22.01.2020 03:41:50: 19h 44min | Nino Marino(76561198206026112) | Teleport - Target To Me - William Jones [WEST](76561198166473448)
22.01.2020 03:46:25: 19h 48min | Donnie Turbo(76561198041233395) | Teleport to [3496.91,2997.36,0](GPS: 034999)
22.01.2020 03:47:45: 19h 50min | Donnie Turbo(76561198041233395) | Deleting Land_Suitcase_F @035999..
22.01.2020 03:47:52: 19h 50min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3546.94,3086.27,0](GPS: 035000)
22.01.2020 03:51:29: 19h 54min | [1k-40] Jose Santana(76561198206026112) | Added 1 fuelFulls to [1k-40] Jose Santana!
22.01.2020 04:05:53: 20h 8min | Donnie Turbo(76561198041233395) | Teleport - Me To Target - Eriden Parker [CIV](76561198054085448)
22.01.2020 04:06:47: 20h 9min | Donnie Turbo(76561198041233395) | Teleport to [3832.87,3296.28,0](GPS: 038002)
22.01.2020 04:09:11: 20h 11min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198264871362)
22.01.2020 04:09:16: 20h 11min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
22.01.2020 04:09:54: 20h 12min | Donnie Turbo(76561198041233395) | Teleport to [3647.85,3223.67,0](GPS: 036001)
22.01.2020 04:09:58: 20h 12min | Donnie Turbo(76561198041233395) | Teleport to [3647.4,3222.34,0](GPS: 036001)
22.01.2020 04:11:32: 20h 14min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
22.01.2020 04:11:32: 20h 14min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
22.01.2020 04:11:34: 20h 14min | Donnie Turbo(76561198041233395) | HealSelf
22.01.2020 04:11:56: 20h 14min | Donnie Turbo(76561198041233395) | Teleport to [2624.67,4580.84,0](GPS: 026015)
22.01.2020 04:12:29: 20h 15min | Donnie Turbo(76561198041233395) | spawning MH-9 Hummingbird (B_Heli_Light_01_F)
22.01.2020 04:13:15: 20h 15min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - B_Heli_Light_01_F
22.01.2020 04:13:25: 20h 15min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198264871362)
22.01.2020 04:13:29: 20h 16min | [1k-40] Jose Santana(76561198206026112) | Teleport to [2502,4235.53,0](GPS: 025011)
22.01.2020 04:14:37: 20h 17min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
22.01.2020 04:14:37: 20h 17min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
22.01.2020 04:14:37: 20h 17min | Donnie Turbo(76561198041233395) | Deleting B_Heli_Light_01_F @030003..
22.01.2020 04:20:52: 20h 23min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - d3s_actros_14
22.01.2020 04:23:49: 20h 26min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
22.01.2020 04:23:53: 20h 26min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - d3s_actros_14
22.01.2020 04:24:05: 20h 26min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - V12_KAWASAKIH2_2017_Rouge
22.01.2020 04:24:10: 20h 26min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
22.01.2020 04:24:45: 20h 27min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3984.69,3403.09,0](GPS: 039003)
22.01.2020 04:30:40: 20h 33min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - C_man_1
22.01.2020 04:31:18: 20h 33min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
22.01.2020 04:31:29: 20h 34min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
22.01.2020 04:31:31: 20h 34min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
22.01.2020 04:31:51: 20h 34min | Donnie Turbo(76561198041233395) | spawning MAR-10 .338 (Camo) (srifle_DMR_02_camo_F)
22.01.2020 04:33:14: 20h 35min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - d3s_actros_14
22.01.2020 04:33:57: 20h 36min | Donnie Turbo(76561198041233395) | spawning  Suzuki GSX-R 1000 (d3s_Suzuki_GSX_R_1000)
22.01.2020 04:34:19: 20h 36min | Donnie Turbo(76561198041233395) | HealRepairNear
22.01.2020 04:34:20: 20h 36min | Donnie Turbo(76561198041233395) | HealRepairNear
22.01.2020 04:35:44: 20h 38min | Donnie Turbo(76561198041233395) | Move In Target Vehicle - [1k-40] Jose Santana [WEST](76561198206026112)
22.01.2020 04:35:46: 20h 38min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - C_man_1
22.01.2020 04:41:11: 20h 43min | Donnie Turbo(76561198041233395) | Deleting d3s_Suzuki_GSX_R_1000 @037001..
22.01.2020 04:43:19: 20h 45min | Donnie Turbo(76561198041233395) | Move In Target Vehicle - luke [CIV](76561198264871362)
22.01.2020 04:43:54: 20h 46min | Donnie Turbo(76561198041233395) | HealRepairNear
22.01.2020 04:43:55: 20h 46min | Donnie Turbo(76561198041233395) | HealRepairNear
22.01.2020 04:48:29: 20h 51min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
22.01.2020 04:48:33: 20h 51min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
22.01.2020 04:48:35: 20h 51min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on () - 
22.01.2020 04:48:36: 20h 51min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
22.01.2020 04:51:38: 20h 54min | [1k-40] Jose Santana(76561198206026112) | Revive - medic_1(76561198180893505)
22.01.2020 04:55:48: 20h 58min | [1k-40] Jose Santana(76561198206026112) | Revive - medic_1(76561198180893505)
22.01.2020 23:55:11: 2h 15min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
22.01.2020 23:55:47: 2h 16min | Donnie Turbo(76561198041233395) | noRecoil - 1
