24.02.2020 00:41:19: 26h 20min | Nino Marino(76561198206026112) | Revive - civ_3(76561198206026112)
24.02.2020 05:28:27: 31h 8min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198264871362)
24.02.2020 05:28:33: 31h 8min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198180893505)
24.02.2020 05:38:18: 31h 17min | Donnie Turbo(76561198041233395) | Killing luke(76561198264871362) @036000
24.02.2020 05:38:18: 31h 17min | Donnie Turbo(76561198041233395) | Kill - civ_1(76561198264871362)
24.02.2020 05:39:49: 31h 19min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198264871362)
24.02.2020 05:41:22: 31h 20min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198180893505)
24.02.2020 05:44:04: 31h 23min | Donnie Turbo(76561198041233395) | God Mode - 0
24.02.2020 05:52:26: 31h 32min | Donnie Turbo(76561198041233395) | spawning PDW2000 9Â mm (hgun_PDW2000_F)
24.02.2020 05:52:55: 31h 32min | Sergei Chedakai(76561198043298972) | Deleting GroundWeaponHolder @036001..
24.02.2020 05:52:57: 31h 32min | Sergei Chedakai(76561198043298972) | Deleting Land_Fancysidewalk_DED_Fancysidewalk_01_F @036000..
24.02.2020 05:52:58: 31h 32min | Sergei Chedakai(76561198043298972) | Deleting GroundWeaponHolder @036000..
24.02.2020 05:53:02: 31h 32min | Sergei Chedakai(76561198043298972) | Deleting WeaponHolderSimulated @036001..
24.02.2020 05:53:15: 31h 32min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198264871362)
24.02.2020 05:54:48: 31h 34min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @036001..
24.02.2020 05:55:16: 31h 34min | Sergei Chedakai(76561198043298972) | spawning Lada Vesta Sport'15 (d3s_vesta_15_turbo)
24.02.2020 05:55:46: 31h 35min | Sergei Chedakai(76561198043298972) | Teleport to [3635.45,3173.11,0](GPS: 036001)
24.02.2020 05:57:35: 31h 37min | Sergei Chedakai(76561198043298972) | Teleport to [3474.47,3067.79,0](GPS: 034999)
24.02.2020 05:57:43: 31h 37min | Sergei Chedakai(76561198043298972) | Teleport to [3640.54,3165.68,0](GPS: 036000)
24.02.2020 05:59:31: 31h 39min | Donnie Turbo(76561198041233395) | spawning Zamak MRL (I_Truck_02_MRL_F)
24.02.2020 05:59:46: 31h 39min | Sergei Chedakai(76561198043298972) | Teleport to [3681.96,3150.86,0](GPS: 036000)
24.02.2020 05:59:51: 31h 39min | Sergei Chedakai(76561198043298972) | Teleport to [3686.31,3127.35,0](GPS: 036000)
24.02.2020 06:00:02: 31h 39min | Sergei Chedakai(76561198043298972) | Teleport to [3628.12,3102.92,0](GPS: 036000)
24.02.2020 06:00:21: 31h 39min | Sergei Chedakai(76561198043298972) | God Mode - 1
24.02.2020 06:00:51: 31h 40min | Sergei Chedakai(76561198043298972) | Teleport - Target To Me - Para.KSteyr[221] [GUER](76561197997126699)
24.02.2020 06:00:59: 31h 40min | Sergei Chedakai(76561198043298972) | Teleport - Target To Me - Para.KSteyr[221] [GUER](76561197997126699)
24.02.2020 06:00:59: 31h 40min | Sergei Chedakai(76561198043298972) | Teleport - Target To Me - Para.KSteyr[221] [GUER](76561197997126699)
24.02.2020 06:01:11: 31h 40min | Sergei Chedakai(76561198043298972) | Teleport - Target To Me - Donnie Turbo [WEST](76561198041233395)
24.02.2020 06:01:30: 31h 41min | Donnie Turbo(76561198041233395) | DayTime
24.02.2020 06:02:35: 31h 42min | Sergei Chedakai(76561198043298972) | Heal - civ_1(76561198264871362)
24.02.2020 06:02:36: 31h 42min | Sergei Chedakai(76561198043298972) | Revive - civ_1(76561198264871362)
24.02.2020 06:02:41: 31h 42min | Sergei Chedakai(76561198043298972) | Revive - civ_2(76561198180893505)
24.02.2020 06:04:19: 31h 43min | Donnie Turbo(76561198041233395) | Teleport - Me To Target - John Anderson [CIV](76561198180893505)
24.02.2020 06:06:56: 31h 46min | Donnie Turbo(76561198041233395) | spawning Zamak MRL (I_Truck_02_MRL_F)
24.02.2020 06:07:28: 31h 47min | Donnie Turbo(76561198041233395) | Teleport - Me To Target - Sergei Chedakai [CIV](76561198043298972)
24.02.2020 06:07:41: 31h 47min | Donnie Turbo(76561198041233395) | God Mode - 1
24.02.2020 06:09:08: 31h 48min | Donnie Turbo(76561198041233395) | HealRepairNear
24.02.2020 06:09:09: 31h 48min | Donnie Turbo(76561198041233395) | HealRepairNear
24.02.2020 06:09:30: 31h 49min | Donnie Turbo(76561198041233395) | Restore - civ_2(76561198180893505)
24.02.2020 06:09:43: 31h 49min | Sergei Chedakai(76561198043298972) | Teleport to [3639.26,3169.94,0](GPS: 036000)
24.02.2020 06:09:56: 31h 49min | Sergei Chedakai(76561198043298972) | spawning T-100 Varsuk (O_MBT_02_cannon_F)
24.02.2020 06:09:57: 31h 49min | Donnie Turbo(76561198041233395) | Teleport - Me To Target - John Anderson [CIV](76561198180893505)
24.02.2020 06:10:01: 31h 49min | Donnie Turbo(76561198041233395) | HealRepairNear
24.02.2020 06:10:18: 31h 49min | Donnie Turbo(76561198041233395) | HealRepairNear
24.02.2020 06:12:43: 31h 52min | Sergei Chedakai(76561198043298972) | Deleting O_MBT_02_cannon_F @036009..
24.02.2020 06:12:44: 31h 52min | Donnie Turbo(76561198041233395) | HealRepairNear
24.02.2020 06:12:45: 31h 52min | Donnie Turbo(76561198041233395) | HealRepairNear
24.02.2020 06:13:17: 31h 52min | Sergei Chedakai(76561198043298972) | spawning EC635 (AT) (EC635_AT_CSAT)
24.02.2020 06:13:30: 31h 53min | Sergei Chedakai(76561198043298972) | HealRepairNear
24.02.2020 06:13:31: 31h 53min | Sergei Chedakai(76561198043298972) | HealRepairNear
24.02.2020 06:13:39: 31h 53min | Sergei Chedakai(76561198043298972) | Teleport to [3634.69,3970.45,-0.0148125](GPS: 036008)
24.02.2020 06:13:42: 31h 53min | Sergei Chedakai(76561198043298972) | Teleport to [3645.86,3983.14,-0.0148087](GPS: 036009)
24.02.2020 06:13:44: 31h 53min | Sergei Chedakai(76561198043298972) | HealRepairNear
24.02.2020 06:17:33: 31h 57min | Donnie Turbo(76561198041233395) | Deleting I_Truck_02_MRL_F @036000..
24.02.2020 06:18:06: 31h 57min | Sergei Chedakai(76561198043298972) | Deleting EC635_AT_CSAT @037999..
24.02.2020 06:18:10: 31h 57min | Donnie Turbo(76561198041233395) | spawning AH-99 Blackfoot (B_Heli_Attack_01_F)
24.02.2020 06:18:18: 31h 57min | Sergei Chedakai(76561198043298972) | spawning AH-9 Pawnee (B_Heli_Light_01_armed_F)
24.02.2020 06:23:27: 32h 3min | Sergei Chedakai(76561198043298972) | Deleting B_Heli_Light_01_armed_F @033002..
24.02.2020 06:24:05: 32h 3min | Sergei Chedakai(76561198043298972) | spawning Mi-280 Taru (Black) (O_Heli_Transport_04_black_F)
24.02.2020 06:24:43: 32h 4min | Sergei Chedakai(76561198043298972) | HealRepairNear
24.02.2020 06:24:46: 32h 4min | Sergei Chedakai(76561198043298972) | Teleport to [3433.97,3400.4,0.00613213](GPS: 034003)
24.02.2020 06:24:49: 32h 4min | Sergei Chedakai(76561198043298972) | Teleport to [3153.13,3504.31,0.00613403](GPS: 031004)
24.02.2020 06:24:52: 32h 4min | Sergei Chedakai(76561198043298972) | HealRepairNear
24.02.2020 06:25:32: 32h 5min | Sergei Chedakai(76561198043298972) | God Mode - 0
24.02.2020 06:29:00: 32h 8min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198180893505)
