13.01.2020 00:00:28: 1h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | Vehboost - 1
13.01.2020 00:26:57: 1h 28min | Bob Lee Swagger(76561198318724805) | Teleport to [2174.97,1805.88,0](GPS: 021987)
13.01.2020 00:27:12: 1h 28min | Bob Lee Swagger(76561198318724805) | Teleport to [5766.3,3746.74,0](GPS: 057006)
13.01.2020 00:27:47: 1h 29min | Bob Lee Swagger(76561198318724805) | Teleport to [3657.97,4010.21,0](GPS: 036009)
13.01.2020 00:29:07: 1h 30min | Bob Lee Swagger(76561198318724805) | Teleport to [3849.45,3199.53,0](GPS: 038001)
13.01.2020 00:29:26: 1h 31min | Bob Lee Swagger(76561198318724805) | Teleport to [3657.37,4006.01,0](GPS: 036009)
13.01.2020 00:29:44: 1h 31min | Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @036009..
13.01.2020 00:29:59: 1h 31min | Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @036009..
13.01.2020 00:32:45: 1h 34min | Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @036009..
13.01.2020 00:32:52: 1h 34min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [5896.03,3739.62,0](GPS: 058006)
13.01.2020 00:33:21: 1h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning EC-635 (Support) (EC635)
13.01.2020 00:33:28: 1h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting EC635 @059006..
13.01.2020 00:33:39: 1h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Eurocopter HH-65 Dolphin (d3s_HH_65)
13.01.2020 00:33:45: 1h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting d3s_HH_65 @059006..
13.01.2020 00:33:53: 1h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Eurocopter AS 365 Dauphin (d3s_AS_365)
13.01.2020 00:34:25: 1h 36min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3671.37,3234.36,0](GPS: 036001)
13.01.2020 00:34:47: 1h 36min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3854.98,3269.98,0](GPS: 038001)
13.01.2020 00:35:00: 1h 36min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3666.8,3240.75,0](GPS: 036001)
13.01.2020 00:35:15: 1h 37min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3652.4,3685.02,0](GPS: 036006)
13.01.2020 00:39:36: 1h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3569.21,3181.98,0](GPS: 035001)
13.01.2020 00:40:42: 1h 42min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In My Vehicle - Harold Reginald [CIV](76561198355765034)
13.01.2020 00:43:04: 1h 44min | Bob Lee Swagger(76561198318724805) | Deleting GroundWeaponHolder @020034..
13.01.2020 00:43:22: 1h 45min | Bob Lee Swagger(76561198318724805) | Deleting GroundWeaponHolder @020034..
13.01.2020 00:43:48: 1h 45min | Bob Lee Swagger(76561198318724805) | Restore - civ_2(76561198318724805)
13.01.2020 00:44:59: 1h 46min | Bob Lee Swagger(76561198318724805) | spawning RCO (optic_Hamr)
13.01.2020 00:45:25: 1h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3272.72,943.884,0](GPS: 032978)
13.01.2020 00:45:29: 1h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
13.01.2020 00:45:42: 1h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [2184.2,1827.48,0](GPS: 021987)
13.01.2020 00:45:49: 1h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Harold Reginald [CIV](76561198355765034)
13.01.2020 00:46:22: 1h 48min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Caesar BTT (Racing) (C_Plane_Civil_01_racing_F)
13.01.2020 00:46:43: 1h 48min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Caesar BTT (I_C_Plane_Civil_01_F)
13.01.2020 00:49:25: 1h 51min | Boyevik Butch-Mac Volkev(76561198089960350) | locked - [C_Plane_Civil_01_racing_F]
13.01.2020 00:49:27: 1h 51min | Boyevik Butch-Mac Volkev(76561198089960350) | unlocked - [C_Plane_Civil_01_racing_F]
13.01.2020 00:52:57: 1h 54min | Bob Lee Swagger(76561198318724805) | Heal - civ_2(76561198318724805)
13.01.2020 00:58:57: 2h 0min | Boyevik Butch-Mac Volkev(76561198089960350) | 50K Cash
13.01.2020 00:59:35: 2h 1min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [5760.33,3724.66,0](GPS: 057006)
13.01.2020 00:59:40: 2h 1min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Harold Reginald [CIV](76561198355765034)
13.01.2020 01:00:25: 2h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Caesar BTT (C_Plane_Civil_01_F)
13.01.2020 01:00:44: 2h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Caesar BTT (C_Plane_Civil_01_F)
13.01.2020 01:10:19: 2h 12min | Jose Santana(76561198206026112) | Teleport to [3688.54,3128.39,0](GPS: 036000)
13.01.2020 01:10:35: 2h 12min | Jose Santana(76561198206026112) | Teleport to [3696.55,3124.14,0](GPS: 036000)
13.01.2020 01:17:58: 2h 19min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3581.19,3221.87,0](GPS: 035001)
13.01.2020 01:18:13: 2h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3534.58,3529.63,0](GPS: 035004)
13.01.2020 01:18:24: 2h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Harold Reginald [CIV](76561198355765034)
13.01.2020 01:18:33: 2h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Eurocopter AS 365 Dauphin (d3s_AS_365)
13.01.2020 01:29:37: 2h 31min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3663.14,3236.18,0](GPS: 036001)
13.01.2020 01:31:43: 2h 33min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3642.4,3646.36,0](GPS: 036005)
13.01.2020 01:34:32: 2h 36min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [4405.7,4164.63,0](GPS: 044010)
13.01.2020 01:35:46: 2h 37min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
13.01.2020 01:39:12: 2h 40min | Jose Santana(76561198206026112) | Revive - civ_2(76561198883479728)
13.01.2020 01:39:59: 2h 41min | Jose Santana(76561198206026112) | SPECTATE - switchedCamera on () - 
13.01.2020 01:40:02: 2h 41min | Jose Santana(76561198206026112) | SPECTATE - switchedCamera on () - 
13.01.2020 01:41:04: 2h 42min | Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - d3s_g500_18_EMS
13.01.2020 01:41:06: 2h 42min | Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - d3s_g500_18_EMS
13.01.2020 01:42:09: 2h 43min | Jose Santana(76561198206026112) | Revive - cop_2(76561198206026112)
13.01.2020 01:42:27: 2h 44min | Jose Santana(76561198206026112) | Revive - civ_2(76561198883479728)
13.01.2020 01:44:10: 2h 45min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3339.15,2993.59,0](GPS: 033999)
13.01.2020 01:44:16: 2h 46min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3513.48,3091.57,0](GPS: 035000)
13.01.2020 01:44:52: 2h 46min | Boyevik Butch-Mac Volkev(76561198089960350) | SPECTATE - switchedCamera on Vincent Fisher(76561198158342072) - B_RangeMaster_F
13.01.2020 01:45:00: 2h 46min | Jose Santana(76561198206026112) | Revive - civ_2(76561198883479728)
13.01.2020 01:51:43: 2h 53min | Jose Santana(76561198206026112) | Added 1 toolkits to Jose Santana!
13.01.2020 01:51:49: 2h 53min | Jose Santana(76561198206026112) | Added 1 spikeStrips to Jose Santana!
13.01.2020 01:52:11: 2h 53min | Jose Santana(76561198206026112) | Added 1 cocaine_processeds to Jose Santana!
13.01.2020 01:52:12: 2h 53min | Jose Santana(76561198206026112) | Added 1 cocaine_processeds to Jose Santana!
13.01.2020 01:52:23: 2h 54min | Jose Santana(76561198206026112) | Added 1 heroin_processeds to Jose Santana!
13.01.2020 01:52:24: 2h 54min | Jose Santana(76561198206026112) | Added 1 heroin_processeds to Jose Santana!
13.01.2020 01:52:34: 2h 54min | Jose Santana(76561198206026112) | Added 1 cocaine_processeds to Vincent Fisher!
13.01.2020 01:52:36: 2h 54min | Jose Santana(76561198206026112) | Added 1 cocaine_processeds to Vincent Fisher!
13.01.2020 03:06:04: 0h 20min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 1
13.01.2020 03:06:08: 0h 20min | Bob Lee Swagger(76561198318724805) | Teleport - Me To Target - Donnie Turbo [CIV](76561198041233395)
13.01.2020 03:06:23: 0h 20min | Bob Lee Swagger(76561198318724805) | Teleport - Me To Target - Donnie Turbo [CIV](76561198041233395)
13.01.2020 03:06:57: 0h 21min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 0
13.01.2020 03:07:16: 0h 21min | Donnie Turbo(76561198041233395) | Heal - civ_3(76561198041233395)
13.01.2020 03:08:02: 0h 22min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on luke(76561198264871362) - d3s_cherokee_18_JPPV
13.01.2020 03:09:12: 0h 23min | Donnie Turbo(76561198041233395) | HealSelf
13.01.2020 03:09:17: 0h 23min | Donnie Turbo(76561198041233395) | HealRepairNear
13.01.2020 03:10:01: 0h 24min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 1
13.01.2020 03:10:09: 0h 24min | Bob Lee Swagger(76561198318724805) | Teleport to [3873.05,3264.14,0](GPS: 038001)
13.01.2020 03:10:13: 0h 24min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 0
13.01.2020 03:12:15: 0h 26min | Donnie Turbo(76561198041233395) | HealRepairNear
13.01.2020 03:12:21: 0h 26min | Donnie Turbo(76561198041233395) | HealRepairNear
13.01.2020 03:16:03: 0h 30min | Bob Lee Swagger(76561198318724805) | Revive - cop_1(76561198318724805)
13.01.2020 03:16:40: 0h 30min | Bob Lee Swagger(76561198318724805) | Deleting Land_Money_F @035000..
13.01.2020 03:30:57: 0h 45min | Bob Lee Swagger(76561198318724805) | Deleting EC635_ADAC @038001..
13.01.2020 03:31:55: 0h 45min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - B_RangeMaster_F
13.01.2020 03:35:03: 0h 49min | Donnie Turbo(76561198041233395) | spawning 4-five .45 ACP (hgun_Pistol_heavy_01_F)
13.01.2020 03:35:29: 0h 49min | Bob Lee Swagger(76561198318724805) | Restore - cop_2(76561198264871362)
13.01.2020 03:36:01: 0h 50min | Nino Marino(76561198206026112) | Teleport to [1569.72,3800.93,0](GPS: 015007)
13.01.2020 03:37:34: 0h 51min | Nino Marino(76561198206026112) | Teleport to [1555.55,3781.62,0](GPS: 015007)
13.01.2020 03:39:39: 0h 53min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
13.01.2020 03:39:51: 0h 53min | Nino Marino(76561198206026112) | Teleport to [1583.36,3807.49,0](GPS: 015007)
13.01.2020 03:43:41: 0h 57min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
13.01.2020 03:43:51: 0h 57min | Nino Marino(76561198206026112) | Revive - medic_1(76561198180893505)
13.01.2020 03:43:57: 0h 58min | Nino Marino(76561198206026112) | Restore - civ_3(76561198041233395)
13.01.2020 03:44:06: 0h 58min | Nino Marino(76561198206026112) | Revive - cop_1(76561198318724805)
13.01.2020 03:44:14: 0h 58min | Nino Marino(76561198206026112) | Revive - civ_3(76561198041233395)
13.01.2020 03:44:36: 0h 58min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 1
13.01.2020 03:44:37: 0h 58min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 0
13.01.2020 03:44:48: 0h 58min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
13.01.2020 03:47:36: 1h 1min | Bob Lee Swagger(76561198318724805) | 
13.01.2020 03:47:38: 1h 1min | Bob Lee Swagger(76561198318724805) | spawning M26C Probe Box (CSW_Taser_Probe_Mag)
13.01.2020 03:47:38: 1h 1min | Bob Lee Swagger(76561198318724805) | spawning M26C Probe Box (CSW_Taser_Probe_Mag)
13.01.2020 03:47:38: 1h 1min | Bob Lee Swagger(76561198318724805) | spawning M26C Probe Box (CSW_Taser_Probe_Mag)
13.01.2020 03:48:38: 1h 2min | Nino Marino(76561198206026112) | God Mode - 1
13.01.2020 03:48:43: 1h 2min | Nino Marino(76561198206026112) | Heal - civ_1(76561198206026112)
13.01.2020 03:49:15: 1h 3min | Bob Lee Swagger(76561198318724805) | God Mode - 1
13.01.2020 03:49:30: 1h 3min | Nino Marino(76561198206026112) | God Mode - 0
13.01.2020 03:49:33: 1h 3min | Bob Lee Swagger(76561198318724805) | God Mode - 0
13.01.2020 03:53:44: 1h 7min | Nino Marino(76561198206026112) | Teleport to [3647.09,3234.17,0](GPS: 036001)
13.01.2020 03:54:02: 1h 8min | Donnie Turbo(76561198041233395) | Heal - civ_3(76561198041233395)
13.01.2020 03:54:09: 1h 8min | Bob Lee Swagger(76561198318724805) | 
13.01.2020 03:54:11: 1h 8min | Bob Lee Swagger(76561198318724805) | spawning M26C Probe Box (CSW_Taser_Probe_Mag)
13.01.2020 03:54:11: 1h 8min | Bob Lee Swagger(76561198318724805) | spawning M26C Probe Box (CSW_Taser_Probe_Mag)
13.01.2020 03:54:11: 1h 8min | Bob Lee Swagger(76561198318724805) | spawning M26C Probe Box (CSW_Taser_Probe_Mag)
13.01.2020 03:54:12: 1h 8min | Bob Lee Swagger(76561198318724805) | spawning M26C Probe Box (CSW_Taser_Probe_Mag)
13.01.2020 03:55:08: 1h 9min | Nino Marino(76561198206026112) | HealRepairNear
13.01.2020 03:56:35: 1h 10min | Bob Lee Swagger(76561198318724805) | Unrestrain - cop_1(76561198318724805)
13.01.2020 03:57:07: 1h 11min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Blue) (SmokeShellBlue)
13.01.2020 03:57:10: 1h 11min | Nino Marino(76561198206026112) | Added 1 toolkits to Nino Marino!
13.01.2020 03:57:25: 1h 11min | Nino Marino(76561198206026112) | Added 1 beers to Nino Marino!
13.01.2020 03:57:26: 1h 11min | Nino Marino(76561198206026112) | Added 1 beers to Nino Marino!
13.01.2020 03:57:27: 1h 11min | Nino Marino(76561198206026112) | Added 1 beers to Nino Marino!
13.01.2020 03:57:35: 1h 11min | Nino Marino(76561198206026112) | Added 1 cocaine_processeds to Nino Marino!
13.01.2020 03:57:35: 1h 11min | Nino Marino(76561198206026112) | Added 1 cocaine_processeds to Nino Marino!
13.01.2020 03:57:44: 1h 11min | Nino Marino(76561198206026112) | Added 1 waterBottles to Nino Marino!
13.01.2020 03:57:44: 1h 11min | Nino Marino(76561198206026112) | Added 1 waterBottles to Nino Marino!
13.01.2020 03:57:49: 1h 11min | Nino Marino(76561198206026112) | Added 1 tbacons to Nino Marino!
13.01.2020 03:57:49: 1h 11min | Nino Marino(76561198206026112) | Added 1 tbacons to Nino Marino!
13.01.2020 03:57:50: 1h 11min | Nino Marino(76561198206026112) | Added 1 tbacons to Nino Marino!
13.01.2020 03:58:42: 1h 12min | Donnie Turbo(76561198041233395) | Teleport to [3807.19,3302.88,0](GPS: 038002)
13.01.2020 03:58:47: 1h 12min | Donnie Turbo(76561198041233395) | HealRepairNear
13.01.2020 04:06:25: 1h 20min | Donnie Turbo(76561198041233395) | HealRepairNear
13.01.2020 04:12:49: 1h 26min | Donnie Turbo(76561198041233395) | Teleport to [3527.72,2893.35,0](GPS: 035998)
13.01.2020 04:21:00: 1h 35min | Bob Lee Swagger(76561198318724805) | Restore - civ_4(76561198318724805)
13.01.2020 04:26:04: 1h 40min | Bob Lee Swagger(76561198318724805) | spawning NV Goggles (Brown) (NVGoggles)
13.01.2020 04:27:37: 1h 41min | Bob Lee Swagger(76561198318724805) | DayTime
13.01.2020 04:39:28: 1h 53min | Bob Lee Swagger(76561198318724805) | Restore - civ_4(76561198318724805)
13.01.2020 04:40:43: 1h 54min | Nino Marino(76561198206026112) | Teleport - Target To Me - Bob Lee Swagger [CIV](76561198318724805)
13.01.2020 04:40:56: 1h 54min | Nino Marino(76561198206026112) | Teleport to [3137.81,5093.55,0](GPS: 031020)
13.01.2020 04:41:08: 1h 55min | Nino Marino(76561198206026112) | Teleport - Target To Me - Bob Lee Swagger [CIV](76561198318724805)
13.01.2020 04:41:45: 1h 55min | Donnie Turbo(76561198041233395) | Teleport to [3119.83,5063,0](GPS: 031019)
13.01.2020 04:45:29: 1h 59min | Donnie Turbo(76561198041233395) | Teleport to [3850.89,3293.77,0](GPS: 038002)
13.01.2020 04:47:09: 2h 1min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @031019..
13.01.2020 04:47:16: 2h 1min | Bob Lee Swagger(76561198318724805) | Deleting GroundWeaponHolder @031019..
13.01.2020 04:47:34: 2h 1min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @031019..
13.01.2020 04:48:05: 2h 2min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
13.01.2020 04:50:32: 2h 4min | Donnie Turbo(76561198041233395) | Teleport to [3686.68,4077.96,0](GPS: 036010)
13.01.2020 04:50:38: 2h 4min | Nino Marino(76561198206026112) | God Mode - 1
13.01.2020 04:50:39: 2h 4min | Nino Marino(76561198206026112) | God Mode - 0
13.01.2020 04:50:42: 2h 4min | Nino Marino(76561198206026112) | Heal - civ_1(76561198206026112)
13.01.2020 04:50:53: 2h 4min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on William Jones(76561198166473448) - d3s_FPIU_13
13.01.2020 05:02:10: 2h 16min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on William Jones(76561198166473448) - B_RangeMaster_F
13.01.2020 05:02:18: 2h 16min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on luke(76561198264871362) - d3s_charger_15_CPP
13.01.2020 05:02:50: 2h 16min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - EC635_ADAC
13.01.2020 05:03:01: 2h 17min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Bob Lee Swagger(76561198318724805) - C_man_1
13.01.2020 05:03:31: 2h 17min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - EC635_ADAC
13.01.2020 05:04:11: 2h 18min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
13.01.2020 05:04:12: 2h 18min | Nino Marino(76561198206026112) | God Mode - 1
13.01.2020 05:04:22: 2h 18min | Nino Marino(76561198206026112) | Teleport - Me To Target - Bob Lee Swagger [CIV](76561198318724805)
13.01.2020 05:04:56: 2h 18min | Nino Marino(76561198206026112) | Teleport to [2147.3,3684.86,0](GPS: 021006)
13.01.2020 05:05:42: 2h 19min | Bob Lee Swagger(76561198318724805) | Heal - civ_4(76561198318724805)
13.01.2020 05:05:50: 2h 19min | Donnie Turbo(76561198041233395) | God Mode - 1
13.01.2020 05:06:07: 2h 20min | Donnie Turbo(76561198041233395) | Teleport - Me To Target - Zander Marino [GUER](76561198180893505)
13.01.2020 05:06:52: 2h 20min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Bob Lee Swagger(76561198318724805) - C_man_1
13.01.2020 05:07:02: 2h 21min | Donnie Turbo(76561198041233395) | Move In Target Vehicle - Zander Marino [GUER](76561198180893505)
13.01.2020 05:07:05: 2h 21min | Bob Lee Swagger(76561198318724805) | Added 25 Ludes to Bob Lee Swagger!
13.01.2020 05:07:56: 2h 21min | Bob Lee Swagger(76561198318724805) | Added 4 lsds to Bob Lee Swagger!
13.01.2020 05:10:21: 2h 24min | Bob Lee Swagger(76561198318724805) | Added 4 lsds to Bob Lee Swagger!
13.01.2020 05:10:25: 2h 24min | Bob Lee Swagger(76561198318724805) | Added 4 marijuanas to Bob Lee Swagger!
13.01.2020 05:13:03: 2h 27min | Bob Lee Swagger(76561198318724805) | Added 4 lsds to Bob Lee Swagger!
13.01.2020 05:13:43: 2h 27min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
13.01.2020 05:13:47: 2h 27min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3664.28,3238.55,0](GPS: 036001)
13.01.2020 05:13:53: 2h 27min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport In Facing Direction (10m steps) - 1
13.01.2020 05:14:10: 2h 28min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [1950.14,3445.89,0](GPS: 019003)
13.01.2020 05:16:29: 2h 30min | Bob Lee Swagger(76561198318724805) | Added 5 lsds to Bob Lee Swagger!
13.01.2020 05:18:41: 2h 32min | Nino Marino(76561198206026112) | HealRepairNear
13.01.2020 05:18:54: 2h 32min | Nino Marino(76561198206026112) | HealRepairNear
13.01.2020 05:21:22: 2h 35min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
13.01.2020 05:22:22: 2h 36min | Donnie Turbo(76561198041233395) | Teleport to [3397.17,4168.67,0](GPS: 033010)
13.01.2020 05:37:43: 2h 51min | Nino Marino(76561198206026112) | God Mode - 0
13.01.2020 05:37:58: 2h 52min | Nino Marino(76561198206026112) | Added 1 heroin_processeds to Nino Marino!
13.01.2020 05:38:01: 2h 52min | Nino Marino(76561198206026112) | Added 1 cocaine_processeds to Nino Marino!
13.01.2020 05:40:32: 2h 54min | Nino Marino(76561198206026112) | Added 1 cocaine_processeds to Nino Marino!
13.01.2020 05:40:59: 2h 55min | Donnie Turbo(76561198041233395) | HealSelf
13.01.2020 05:40:59: 2h 55min | Donnie Turbo(76561198041233395) | HealSelf
13.01.2020 05:40:59: 2h 55min | Donnie Turbo(76561198041233395) | HealSelf
13.01.2020 05:40:59: 2h 55min | Donnie Turbo(76561198041233395) | HealSelf
13.01.2020 05:40:59: 2h 55min | Donnie Turbo(76561198041233395) | HealSelf
13.01.2020 05:40:59: 2h 55min | Donnie Turbo(76561198041233395) | HealSelf
13.01.2020 05:41:35: 2h 55min | Donnie Turbo(76561198041233395) | configviewer
13.01.2020 05:43:28: 2h 57min | Nino Marino(76561198206026112) | Added 1 cocaine_processeds to Nino Marino!
13.01.2020 05:44:00: 2h 58min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3603.07,3802.29,0](GPS: 036007)
13.01.2020 05:44:03: 2h 58min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3708.44,3884.71,0](GPS: 037008)
13.01.2020 05:46:29: 3h 0min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Bob Lee Swagger(76561198318724805) - d3s_FPIU_13
13.01.2020 05:57:08: 3h 11min | Donnie Turbo(76561198041233395) | God Mode - 0
13.01.2020 05:59:17: 3h 13min | Bob Lee Swagger(76561198318724805) | Added 2 lockpicks to Zander Marino!
13.01.2020 06:00:52: 3h 14min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Bob Lee Swagger(76561198318724805) - C_man_1
13.01.2020 06:00:59: 3h 15min | Bob Lee Swagger(76561198318724805) | Added 10 lockpicks to Bob Lee Swagger!
13.01.2020 06:03:27: 3h 17min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
13.01.2020 06:06:36: 3h 20min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
13.01.2020 06:17:15: 3h 31min | Bob Lee Swagger(76561198318724805) | spawning 4-five .45 ACP (hgun_Pistol_heavy_01_F)
13.01.2020 06:18:00: 3h 32min | Bob Lee Swagger(76561198318724805) | 
13.01.2020 06:18:20: 3h 32min | Bob Lee Swagger(76561198318724805) | 
13.01.2020 06:18:22: 3h 32min | Bob Lee Swagger(76561198318724805) | spawning .45 ACP 11Rnd Mag (11Rnd_45ACP_Mag)
13.01.2020 06:26:51: 3h 40min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - d3s_FPIU_13
13.01.2020 06:28:24: 3h 42min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
13.01.2020 06:47:26: 4h 1min | Bob Lee Swagger(76561198318724805) | Added 20 lockpicks to Bob Lee Swagger!
13.01.2020 06:47:29: 4h 1min | Nino Marino(76561198206026112) | Teleport to [2850.76,4612.64,0](GPS: 028015)
13.01.2020 06:47:59: 4h 2min | Nino Marino(76561198206026112) | Heal - civ_4(76561198318724805)
13.01.2020 06:49:59: 4h 4min | Bob Lee Swagger(76561198318724805) | Added 2 boltcutters to Bob Lee Swagger!
13.01.2020 06:50:22: 4h 4min | Bob Lee Swagger(76561198318724805) | Added 2 boltcutters to Bob Lee Swagger!
13.01.2020 06:50:23: 4h 4min | Bob Lee Swagger(76561198318724805) | Added 2 boltcutters to Bob Lee Swagger!
13.01.2020 06:51:32: 4h 5min | Bob Lee Swagger(76561198318724805) | Added 2 eras to Bob Lee Swagger!
13.01.2020 06:52:21: 4h 6min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
13.01.2020 06:52:33: 4h 6min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 12 whiskeys to Boyevik Butch-Mac Volkev!
