16.02.2020 00:08:07: 6h 28min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 01:11:58: 7h 32min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on HoyoBani(76561198105940600) - C_man_1
16.02.2020 01:12:00: 7h 32min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - Jonzie_Ambulance
16.02.2020 01:12:08: 7h 32min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - Jonzie_Ambulance
16.02.2020 01:12:10: 7h 32min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - Jonzie_Ambulance
16.02.2020 01:12:12: 7h 32min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - Jonzie_Ambulance
16.02.2020 01:12:41: 7h 32min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - Jonzie_Ambulance
16.02.2020 01:12:42: 7h 32min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - Jonzie_Ambulance
16.02.2020 01:12:46: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - Jonzie_Ambulance
16.02.2020 01:12:53: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on WarFire(76561198150464364) - C_man_1
16.02.2020 01:13:01: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Simon(76561198139661569) - C_man_1
16.02.2020 01:13:05: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - d3s_charger_15_CPP
16.02.2020 01:13:08: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on [3k-66] W.Blades(76561198281290777) - d3s_charger_15_CPP
16.02.2020 01:13:10: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on [3k-66] W.Blades(76561198281290777) - d3s_charger_15_CPP
16.02.2020 01:13:11: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
16.02.2020 01:13:16: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on [1K-33] R. Tjay(76561198883479728) - d3s_cherokee_18_JPPV
16.02.2020 01:13:23: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Sherman(76561198038112694) - C_man_1
16.02.2020 01:13:32: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Low_Poly_Man(76561198137223112) - C_man_1
16.02.2020 01:13:35: 7h 33min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Jackz(76561198391774624) - C_man_1
16.02.2020 01:13:55: 7h 34min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on [3k-66] W.Blades(76561198281290777) - d3s_charger_15_CPP
16.02.2020 01:14:02: 7h 34min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
16.02.2020 01:14:54: 7h 35min | Donnie Turbo(76561198041233395) | HealRepairNear
16.02.2020 01:15:24: 7h 35min | Donnie Turbo(76561198041233395) | HealRepairNear
16.02.2020 01:20:45: 7h 41min | Sherman(76561198038112694) | Teleport to [3844.97,3213.16,0](GPS: 038001)
16.02.2020 01:20:47: 7h 41min | Sherman(76561198038112694) | Teleport to [3845.4,3213.4,0](GPS: 038001)
16.02.2020 01:20:49: 7h 41min | Sherman(76561198038112694) | Teleport to [3845.76,3214.18,0](GPS: 038001)
16.02.2020 01:20:56: 7h 41min | Sherman(76561198038112694) | Teleport to [3845.97,3214.82,0](GPS: 038001)
16.02.2020 01:20:56: 7h 41min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 01:20:57: 7h 41min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 01:20:58: 7h 41min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 01:20:58: 7h 41min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 01:20:59: 7h 41min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 01:21:02: 7h 41min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 01:21:04: 7h 41min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 01:21:05: 7h 41min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 01:34:02: 7h 54min | Sherman(76561198038112694) | unlocked - [d3s_veneno_13]
16.02.2020 01:42:05: 8h 2min | Sherman(76561198038112694) | unlocked - [d3s_cherokee_18_JPPV]
16.02.2020 01:42:06: 8h 2min | Sherman(76561198038112694) | locked - [d3s_cherokee_18_JPPV]
16.02.2020 01:42:11: 8h 2min | Sherman(76561198038112694) | unlocked - [d3s_cherokee_18_JPPV]
16.02.2020 01:42:18: 8h 2min | Sherman(76561198038112694) | locked - [d3s_cherokee_18_JPPV]
16.02.2020 01:42:25: 8h 2min | Sherman(76561198038112694) | unlocked - [d3s_cherokee_18_JPPV]
16.02.2020 01:42:27: 8h 2min | Sherman(76561198038112694) | locked - [d3s_cherokee_18_JPPV]
16.02.2020 01:46:30: 8h 6min | Sherman(76561198038112694) | HealRepairNear
16.02.2020 01:50:06: 8h 10min | Sherman(76561198038112694) | Teleport to [3777.62,3192.31,0](GPS: 037001)
16.02.2020 01:50:13: 8h 10min | Sherman(76561198038112694) | Teleport to [3847.03,3220.74,0](GPS: 038001)
16.02.2020 01:50:35: 8h 10min | Sherman(76561198038112694) | Teleport to [3780.25,3192.99,0](GPS: 037001)
16.02.2020 01:50:44: 8h 11min | Sherman(76561198038112694) | Teleport to [3845.66,3218.32,0](GPS: 038001)
16.02.2020 01:55:13: 8h 15min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on [3k-66] W.Blades(76561198281290777) - B_RangeMaster_F
16.02.2020 01:55:14: 8h 15min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Low_Poly_Man(76561198137223112) - C_man_1
16.02.2020 01:55:37: 8h 15min | Nino Marino(76561198206026112) | Teleport - Me To Target - Low_Poly_Man [CIV](76561198137223112)
16.02.2020 01:57:10: 8h 17min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
16.02.2020 01:57:10: 8h 17min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
16.02.2020 01:58:27: 8h 18min | Nino Marino(76561198206026112) | Teleport to [3846.89,3273.93,0](GPS: 038002)
16.02.2020 01:58:55: 8h 19min | Nino Marino(76561198206026112) | Teleport to [3863.03,3235.19,0](GPS: 038001)
16.02.2020 01:59:45: 8h 20min | Nino Marino(76561198206026112) | Teleport to [3856.57,3288.11,0](GPS: 038002)
16.02.2020 02:03:46: 8h 24min | Nino Marino(76561198206026112) | Teleport to [3869.48,3356.86,0](GPS: 038002)
16.02.2020 02:04:33: 8h 24min | Nino Marino(76561198206026112) | Teleport to [3866.9,3234.15,0](GPS: 038001)
16.02.2020 02:04:48: 8h 25min | Nino Marino(76561198206026112) | Teleport to [3834.3,3238.64,0](GPS: 038001)
16.02.2020 02:04:59: 8h 25min | Nino Marino(76561198206026112) | Teleport to [3808.48,3294.16,0](GPS: 038002)
16.02.2020 02:13:53: 8h 34min | K-12 J Shepard(76561198043298972) | spawning Dodge Durango Police Unmarked'18 (d3s_durango_18_UNM)
16.02.2020 02:13:58: 8h 34min | K-12 J Shepard(76561198043298972) | locked - [d3s_durango_18_UNM]
16.02.2020 02:14:35: 8h 34min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - C_man_1
16.02.2020 02:16:08: 8h 36min | K-12 J Shepard(76561198043298972) | unlocked - [d3s_durango_18_UNM]
16.02.2020 02:16:43: 8h 36min | Nino Marino(76561198206026112) | Teleport - Me To Target - Low_Poly_Man [CIV](76561198137223112)
16.02.2020 02:16:44: 8h 37min | K-12 J Shepard(76561198043298972) | locked - [d3s_durango_18_UNM]
16.02.2020 02:18:08: 8h 38min | Nino Marino(76561198206026112) | Teleport to [3487.84,4173.18,0](GPS: 034011)
16.02.2020 02:18:14: 8h 38min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
16.02.2020 02:18:15: 8h 38min | Nino Marino(76561198206026112) | God Mode - 0
16.02.2020 02:18:24: 8h 38min | HoyoBani(76561198105940600) | HealRepairNear
16.02.2020 02:19:28: 8h 39min | K-12 J Shepard(76561198043298972) | spawning Lamborghini Huracan Performante'18 (d3s_huracan_18_P)
16.02.2020 02:19:35: 8h 39min | K-12 J Shepard(76561198043298972) | Deleting d3s_huracan_18_P @034001..
16.02.2020 02:19:58: 8h 40min | K-12 J Shepard(76561198043298972) | spawning Mercedes-Benz E63 AMG S'13 Black Edition (d3s_w212s_13_EX)
16.02.2020 02:20:02: 8h 40min | K-12 J Shepard(76561198043298972) | Deleting d3s_w212s_13_EX @034001..
16.02.2020 02:20:28: 8h 40min | K-12 J Shepard(76561198043298972) | spawning Mercedes-AMG G63'17 FSB (d3s_g63amg_16_FSB)
16.02.2020 02:20:33: 8h 40min | K-12 J Shepard(76561198043298972) | locked - [d3s_g63amg_16_FSB]
16.02.2020 02:20:41: 8h 40min | K-12 J Shepard(76561198043298972) | Deleting d3s_g63amg_16_FSB @034001..
16.02.2020 02:21:06: 8h 41min | K-12 J Shepard(76561198043298972) | spawning Mercedes-AMG G65'16 (d3s_g65amg_16)
16.02.2020 02:21:09: 8h 41min | K-12 J Shepard(76561198043298972) | Deleting d3s_g65amg_16 @034001..
16.02.2020 02:21:37: 8h 41min | K-12 J Shepard(76561198043298972) | spawning Tesla Model S P90D'16 (d3s_teslaS_16_90)
16.02.2020 02:21:42: 8h 41min | K-12 J Shepard(76561198043298972) | locked - [d3s_teslaS_16_90]
16.02.2020 02:21:48: 8h 42min | K-12 J Shepard(76561198043298972) | unlocked - [d3s_teslaS_16_90]
16.02.2020 02:21:49: 8h 42min | K-12 J Shepard(76561198043298972) | locked - [d3s_teslaS_16_90]
16.02.2020 02:22:07: 8h 42min | K-12 J Shepard(76561198043298972) | unlocked - [d3s_teslaS_16_90]
16.02.2020 02:22:08: 8h 42min | K-12 J Shepard(76561198043298972) | locked - [d3s_teslaS_16_90]
16.02.2020 02:22:52: 8h 43min | K-12 J Shepard(76561198043298972) | Teleport to [5066.2,2011.85,0](GPS: 050989)
16.02.2020 02:31:29: 8h 51min | Donnie Turbo(76561198041233395) | Move In Target Vehicle - Zander Marino [GUER](76561198180893505)
16.02.2020 02:32:42: 8h 52min | Donnie Turbo(76561198041233395) | Revive - medic_6(76561198180893505)
16.02.2020 02:32:50: 8h 53min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - I_soldier_UAV_06_medical_F
16.02.2020 02:34:00: 8h 54min | Donnie Turbo(76561198041233395) | HealRepairNear
16.02.2020 02:34:01: 8h 54min | Donnie Turbo(76561198041233395) | HealRepairNear
16.02.2020 02:34:46: 8h 55min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 02:34:46: 8h 55min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 02:34:59: 8h 55min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 02:34:59: 8h 55min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 02:35:05: 8h 55min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 02:35:13: 8h 55min | Donnie Turbo(76561198041233395) | Deleting C_IDAP_Van_02_medevac_F @035999..
16.02.2020 02:36:28: 8h 56min | Donnie Turbo(76561198041233395) | Move In Target Vehicle - luke [CIV](76561198264871362)
16.02.2020 02:36:37: 8h 56min | Donnie Turbo(76561198041233395) | Teleport to [3490.66,3085.66,0](GPS: 034000)
16.02.2020 02:39:11: 8h 59min | Nino Marino(76561198206026112) | Added 4 batmanBandaids to Zander Marino!
16.02.2020 02:39:15: 8h 59min | Nino Marino(76561198206026112) | Added 4 scoobydooBandaids to Zander Marino!
16.02.2020 02:39:50: 8h 60min | Nino Marino(76561198206026112) | Added 2 scoobydooBandaids to Zander Marino!
16.02.2020 02:39:59: 8h 60min | Nino Marino(76561198206026112) | Added 2 batmanBandaids to Nino Marino!
16.02.2020 02:40:04: 8h 60min | Nino Marino(76561198206026112) | Added 2 scoobydooBandaids to Nino Marino!
16.02.2020 02:43:15: 9h 3min | Donnie Turbo(76561198041233395) | spawning IMI Desert Eagle 12.7Ã—33mm AE (CSW_Desert_Eagle)
16.02.2020 02:50:32: 9h 10min | Sherman(76561198038112694) | Added 10 coffees to Sherman!
16.02.2020 02:50:37: 9h 10min | Sherman(76561198038112694) | Added 10 donutss to Sherman!
16.02.2020 02:50:49: 9h 11min | K-12 J Shepard(76561198043298972) | Teleport to [7319.86,3790.29,0](GPS: 073007)
16.02.2020 02:51:01: 9h 11min | K-12 J Shepard(76561198043298972) | Teleport to [7608.64,4285.37,0](GPS: 076012)
16.02.2020 02:51:12: 9h 11min | Donnie Turbo(76561198041233395) | HealRepairNear
16.02.2020 02:51:13: 9h 11min | Donnie Turbo(76561198041233395) | HealRepairNear
16.02.2020 02:52:09: 9h 12min | Donnie Turbo(76561198041233395) | locked - [d3s_fseries_17_TOW]
16.02.2020 02:53:06: 9h 13min | Donnie Turbo(76561198041233395) | locked - [V12_APRILIARSV4_Rouge]
16.02.2020 02:55:44: 9h 16min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @035000..
16.02.2020 03:00:00: 9h 20min | Sherman(76561198038112694) | Teleport to [3824.82,3313.05,0](GPS: 038002)
16.02.2020 03:03:17: 9h 23min | Donnie Turbo(76561198041233395) | spawning IMI Desert Eagle 12.7Ã—33mm AE (CSW_Desert_Eagle)
16.02.2020 03:09:15: 9h 29min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Low_Poly_Man(76561198137223112) - C_man_1
16.02.2020 03:09:32: 9h 29min | Nino Marino(76561198206026112) | Teleport to [4952.4,2517.06,0](GPS: 049994)
16.02.2020 03:10:07: 9h 30min | Nino Marino(76561198206026112) | Revive - civ_9(76561198139661569)
16.02.2020 03:15:23: 9h 35min | K-12 J Shepard(76561198043298972) | Teleport to [3871.66,3268.11,0](GPS: 038001)
16.02.2020 03:17:43: 9h 37min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 03:19:06: 9h 39min | Sherman(76561198038112694) | HealRepairNear
16.02.2020 03:20:25: 9h 40min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on [3k-66] W.Blades(76561198281290777) - B_RangeMaster_F
16.02.2020 03:22:36: 9h 42min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 03:22:52: 9h 43min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 03:23:49: 9h 44min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 03:23:54: 9h 44min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 03:24:57: 9h 45min | K-12 J Shepard(76561198043298972) | spawning Dodge Durango Police Unmarked'18 (d3s_durango_18_UNM)
16.02.2020 03:25:20: 9h 45min | K-12 J Shepard(76561198043298972) | locked - [d3s_durango_18_UNM]
16.02.2020 03:26:34: 9h 46min | Sherman(76561198038112694) | unlocked - [d3s_durango_18_UNM]
16.02.2020 03:26:38: 9h 46min | Sherman(76561198038112694) | locked - [d3s_durango_18_UNM]
16.02.2020 03:30:13: 9h 50min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 03:30:18: 9h 50min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 03:30:53: 9h 51min | Sherman(76561198038112694) | Teleport to [6811.84,2561.82,0](GPS: 068994)
16.02.2020 03:33:57: 9h 54min | Sherman(76561198038112694) | Added 10 goldbars to Sherman!
16.02.2020 03:34:26: 9h 54min | Nino Marino(76561198206026112) | God Mode - 1
16.02.2020 03:34:26: 9h 54min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
16.02.2020 03:34:35: 9h 54min | Nino Marino(76561198206026112) | Teleport to [7346.87,2878.42,0](GPS: 073998)
16.02.2020 03:35:36: 9h 55min | Nino Marino(76561198206026112) | Teleport - Me To Target - K-12 J Shepard [WEST](76561198043298972)
16.02.2020 03:35:49: 9h 56min | Nino Marino(76561198206026112) | Teleport to [6794.39,2409.93,0](GPS: 067993)
16.02.2020 03:36:27: 9h 56min | Nino Marino(76561198206026112) | Teleport - Me To Target - luke [CIV](76561198264871362)
16.02.2020 03:36:46: 9h 57min | Nino Marino(76561198206026112) | Teleport - Me To Target - Zander Marino [GUER](76561198180893505)
16.02.2020 03:37:27: 9h 57min | Nino Marino(76561198206026112) | Teleport to [1662.75,3611.19,0](GPS: 016005)
16.02.2020 03:38:39: 9h 58min | K-12 J Shepard(76561198043298972) | Heal - cop_2(76561198043298972)
16.02.2020 03:40:10: 9h 60min | Nino Marino(76561198206026112) | Teleport to [1659.17,3528.87,0](GPS: 016004)
16.02.2020 03:41:19: 10h 1min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Low_Poly_Man(76561198137223112) - C_man_1
16.02.2020 03:41:42: 10h 1min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on WarFire(76561198150464364) - C_man_1
16.02.2020 03:42:04: 10h 2min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - d3s_charger_15_CPP
16.02.2020 03:42:06: 10h 2min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
16.02.2020 03:42:09: 10h 2min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Low_Poly_Man(76561198137223112) - C_man_1
16.02.2020 03:43:21: 10h 3min | Nino Marino(76561198206026112) | Teleport to [1676.03,3611.48,0](GPS: 016005)
16.02.2020 03:46:11: 10h 6min | K-12 J Shepard(76561198043298972) | unlocked - [d3s_durango_18_UNM]
16.02.2020 03:46:41: 10h 6min | Sherman(76561198038112694) | HealRepairNear
16.02.2020 03:47:25: 10h 7min | Nino Marino(76561198206026112) | Teleport to [1673.83,3640.43,0](GPS: 016005)
16.02.2020 03:47:59: 10h 8min | Sherman(76561198038112694) | Teleport to [3871.85,3265.65,0](GPS: 038001)
16.02.2020 03:48:17: 10h 8min | Nino Marino(76561198206026112) | Teleport to [3642.76,4046.83,0](GPS: 036009)
16.02.2020 03:48:19: 10h 8min | K-12 J Shepard(76561198043298972) | Deleting d3s_durango_18_UNM @017005..
16.02.2020 03:48:31: 10h 8min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
16.02.2020 03:48:31: 10h 8min | Nino Marino(76561198206026112) | God Mode - 0
16.02.2020 03:49:33: 10h 9min | K-12 J Shepard(76561198043298972) | spawning Lamborghini Huracan'18 (d3s_huracan_18)
16.02.2020 03:49:46: 10h 10min | K-12 J Shepard(76561198043298972) | locked - [d3s_huracan_18]
16.02.2020 03:50:01: 10h 10min | K-12 J Shepard(76561198043298972) | unlocked - [d3s_huracan_18]
16.02.2020 03:50:01: 10h 10min | K-12 J Shepard(76561198043298972) | locked - [d3s_huracan_18]
16.02.2020 03:50:08: 10h 10min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 03:50:44: 10h 11min | K-12 J Shepard(76561198043298972) | Deleting d3s_huracan_18 @017005..
16.02.2020 03:51:48: 10h 12min | K-12 J Shepard(76561198043298972) | spawning Alfa Romeo Stelvio'18 [Unmarked] (d3s_stelvio_18_UNM)
16.02.2020 03:52:34: 10h 12min | K-12 J Shepard(76561198043298972) | Deleting d3s_stelvio_18_UNM @017004..
16.02.2020 03:53:02: 10h 13min | K-12 J Shepard(76561198043298972) | spawning Dodge Challenger Police Undercover'15 (d3s_challenger_15_CPU)
16.02.2020 03:53:18: 10h 13min | K-12 J Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
16.02.2020 03:57:50: 10h 18min | K-12 J Shepard(76561198043298972) | spawning Dodge Charger Police Pursuit'15 (d3s_charger_15_CPP)
16.02.2020 04:00:03: 10h 20min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 04:00:03: 10h 20min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 04:01:09: 10h 21min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 04:01:14: 10h 21min | Donnie Turbo(76561198041233395) | locked - [Jonzie_Ambulance]
16.02.2020 04:05:11: 10h 25min | Sherman(76561198038112694) | Teleport to [3470.89,4114.17,0](GPS: 034010)
16.02.2020 04:07:30: 10h 27min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Low_Poly_Man(76561198137223112) - C_man_1
16.02.2020 04:07:34: 10h 27min | Nino Marino(76561198206026112) | Teleport - Target To Me - Low_Poly_Man [CIV](76561198137223112)
16.02.2020 04:07:47: 10h 28min | Nino Marino(76561198206026112) | Revive - civ_4(76561198137223112)
16.02.2020 04:08:21: 10h 28min | K-12 J Shepard(76561198043298972) | Teleport to [2603.74,3445.79,0](GPS: 026003)
16.02.2020 04:08:24: 10h 28min | K-12 J Shepard(76561198043298972) | Deleting d3s_charger_15_CPP @025003..
16.02.2020 04:10:20: 10h 30min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
16.02.2020 04:15:57: 10h 36min | K-12 J Shepard(76561198043298972) | Teleport to [3876.76,3266.47,0](GPS: 038001)
16.02.2020 04:21:03: 10h 41min | Sherman(76561198038112694) | HealRepairNear
16.02.2020 04:41:49: 11h 2min | Sherman(76561198038112694) | Teleport to [3871.32,3263.67,0](GPS: 038001)
16.02.2020 04:52:12: 11h 12min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Sherman(76561198038112694) - C_man_1
16.02.2020 04:52:31: 11h 12min | Nino Marino(76561198206026112) | Teleport to [3857.17,3250.33,0](GPS: 038001)
16.02.2020 04:53:32: 11h 13min | K-12 J Shepard(76561198043298972) | Deleting GroundWeaponHolder @038001..
16.02.2020 04:55:39: 11h 15min | Sherman(76561198038112694) | Teleport to [3853.36,3223.5,0](GPS: 038001)
16.02.2020 04:59:36: 11h 19min | Sherman(76561198038112694) | HealRepairNear
16.02.2020 04:59:43: 11h 19min | K-12 J Shepard(76561198043298972) | Heal - civ_3(76561198042633029)
16.02.2020 05:00:18: 11h 20min | Sherman(76561198038112694) | Added 2 heroin_processeds to Sherman!
16.02.2020 05:02:03: 11h 22min | Sherman(76561198038112694) | Revive - civ_3(76561198042633029)
16.02.2020 05:04:42: 11h 24min | Sherman(76561198038112694) | Revive - civ_2(76561198038112694)
16.02.2020 05:05:10: 11h 25min | Sherman(76561198038112694) | Revive - civ_3(76561198042633029)
16.02.2020 05:07:07: 11h 27min | Sherman(76561198038112694) | Revive - cop_6()
16.02.2020 05:07:17: 11h 27min | Sherman(76561198038112694) | Revive - cop_6(76561198860031547)
