27.01.2020 00:03:44: 20h 32min | Jbo Marino[201](76561198206026112) | spawning Tractor (C_Tractor_01_F)
27.01.2020 01:53:39: 22h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 1
27.01.2020 01:53:40: 22h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
27.01.2020 01:53:44: 22h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 1
27.01.2020 01:53:45: 22h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport In Facing Direction (10m steps) - 1
27.01.2020 01:57:59: 22h 26min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @038001..
27.01.2020 02:03:12: 22h 31min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Harold Reginald(76561198355765034) - C_man_1
27.01.2020 02:03:25: 22h 32min | Jbo Marino[201](76561198206026112) | Teleport - Target To Me - Harold Reginald [CIV](76561198355765034)
27.01.2020 02:06:08: 22h 34min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
27.01.2020 02:06:48: 22h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3583.96,3195.31,0](GPS: 035001)
27.01.2020 02:07:15: 22h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3845.25,3267.09,0](GPS: 038001)
27.01.2020 02:07:34: 22h 36min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
27.01.2020 02:08:02: 22h 36min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3745.68,3268.86,0](GPS: 037001)
27.01.2020 02:10:41: 22h 39min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - Harold Reginald [CIV](76561198355765034)
27.01.2020 02:10:51: 22h 39min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 0
27.01.2020 02:10:55: 22h 39min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 1
27.01.2020 02:12:20: 22h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | Eject - Boyevik Butch-Mac Volkev [CIV](76561198089960350)
27.01.2020 02:13:07: 22h 41min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - C_man_1
27.01.2020 02:13:24: 22h 42min | Jbo Marino[201](76561198206026112) | Teleport - Me To Target - Javier Escuella [CIV](76561198370210333)
27.01.2020 02:13:34: 22h 42min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 0
27.01.2020 02:15:43: 22h 44min | Jbo Marino[201](76561198206026112) | Teleport to [3564.51,2992.87,0](GPS: 035999)
27.01.2020 02:28:13: 22h 56min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 02:28:13: 22h 56min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 02:28:13: 22h 56min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 02:28:14: 22h 56min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 02:31:36: 22h 60min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 0
27.01.2020 02:33:50: 23h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3514.92,3013.27,0](GPS: 035999)
27.01.2020 02:37:46: 23h 6min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3534.8,3127.26,0](GPS: 035000)
27.01.2020 02:37:53: 23h 6min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3512.97,3018.05,0](GPS: 035999)
27.01.2020 02:41:02: 23h 9min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - [1A-01] J Shepard [WEST](76561198043298972)
27.01.2020 02:44:37: 23h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | unlocked - [d3s_charger_15_CPP]
27.01.2020 02:44:39: 23h 13min | Donnie Turbo(76561198041233395) | unlocked - [d3s_vklasse_17]
27.01.2020 02:44:50: 23h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
27.01.2020 02:44:56: 23h 13min | Donnie Turbo(76561198041233395) | locked - [d3s_vklasse_17]
27.01.2020 02:46:40: 23h 15min | Donnie Turbo(76561198041233395) | Deleting d3s_fseries_17_TOW @038000..
27.01.2020 02:51:35: 23h 20min | Donnie Turbo(76561198041233395) | Teleport to [3911.13,3251.25,0](GPS: 039001)
27.01.2020 02:58:11: 23h 26min | Boyevik Butch-Mac Volkev(76561198089960350) | unlocked - [d3s_charger_15_CPP]
27.01.2020 02:58:13: 23h 26min | Boyevik Butch-Mac Volkev(76561198089960350) | locked - [d3s_charger_15_CPP]
27.01.2020 02:58:55: 23h 27min | Boyevik Butch-Mac Volkev(76561198089960350) | unlocked - [d3s_charger_15_CPP]
27.01.2020 02:58:57: 23h 27min | Boyevik Butch-Mac Volkev(76561198089960350) | locked - [d3s_charger_15_CPP]
27.01.2020 03:07:38: 23h 36min | Donnie Turbo(76561198041233395) | spawning Tractor (C_Tractor_01_F)
27.01.2020 03:07:47: 23h 36min | Donnie Turbo(76561198041233395) | locked - [C_Tractor_01_F]
27.01.2020 03:08:33: 23h 37min | Donnie Turbo(76561198041233395) | unlocked - [C_Tractor_01_F]
27.01.2020 03:08:40: 23h 37min | Donnie Turbo(76561198041233395) | locked - [C_Tractor_01_F]
27.01.2020 03:12:14: 23h 40min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_4(76561198370210333)
27.01.2020 03:15:21: 23h 44min | Boyevik Butch-Mac Volkev(76561198089960350) | locked - [d3s_charger_15_CPP]
27.01.2020 03:16:46: 23h 45min | Boyevik Butch-Mac Volkev(76561198089960350) | unlocked - [d3s_charger_15_CPP]
27.01.2020 03:21:31: 23h 50min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_3(76561198038112694)
27.01.2020 03:21:58: 23h 50min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
27.01.2020 03:28:29: 23h 57min | Donnie Turbo(76561198041233395) | God Mode - 1
27.01.2020 03:28:35: 23h 57min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
27.01.2020 03:28:55: 23h 57min | Jbo Marino[201](76561198206026112) | Teleport - Me To Target - Zander Marino [GUER](76561198180893505)
27.01.2020 03:29:30: 23h 58min | Donnie Turbo(76561198041233395) | noRecoil - 1
27.01.2020 03:29:33: 23h 58min | Donnie Turbo(76561198041233395) | God Mode - 0
27.01.2020 03:30:12: 23h 58min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
27.01.2020 03:30:13: 23h 58min | Jbo Marino[201](76561198206026112) | God Mode - 1
27.01.2020 03:30:57: 23h 59min | Donnie Turbo(76561198041233395) | Revive - medic_2(76561198180893505)
27.01.2020 03:56:36: 0h 21min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
27.01.2020 03:56:40: 0h 21min | Donnie Turbo(76561198041233395) | noRecoil - 1
27.01.2020 05:22:02: 1h 46min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3845.68,3275.13,0](GPS: 038002)
27.01.2020 05:24:39: 1h 49min | [1k-40] Jose Santana(76561198206026112) | Killing Zander Marino(76561198180893505) @038001
27.01.2020 05:24:39: 1h 49min | [1k-40] Jose Santana(76561198206026112) | Kill - civ_1(76561198180893505)
27.01.2020 05:24:42: 1h 49min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
27.01.2020 05:25:02: 1h 49min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 05:25:22: 1h 50min | [1k-40] Jose Santana(76561198206026112) | Killing Zander Marino(76561198180893505) @038001
27.01.2020 05:25:22: 1h 50min | [1k-40] Jose Santana(76561198206026112) | Kill - civ_1(76561198180893505)
27.01.2020 05:25:27: 1h 50min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 05:25:32: 1h 50min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
27.01.2020 05:25:39: 1h 50min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 05:26:05: 1h 50min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 05:26:21: 1h 51min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 05:27:27: 1h 52min | [1k-40] Jose Santana(76561198206026112) | spawning Honda Civic COP (d3s_civic_17_COP)
27.01.2020 05:27:33: 1h 52min | [1k-40] Jose Santana(76561198206026112) | spawning MINI Cooper Clubman'11 (d3s_clubman_11)
27.01.2020 05:27:47: 1h 52min | [1k-40] Jose Santana(76561198206026112) | spawning Dodge Coronet Police '70 (d3s_coronet_70_COP)
27.01.2020 05:28:41: 1h 53min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_clubman_11 @038002..
27.01.2020 05:28:59: 1h 53min | [1k-40] Jose Santana(76561198206026112) | unlocked - [d3s_coronet_70_COP]
27.01.2020 05:30:07: 1h 54min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:30:07: 1h 54min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:31:09: 1h 55min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:31:09: 1h 55min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:32:44: 1h 57min | [1k-40] Jose Santana(76561198206026112) | spawning Ferrari 599XX Evoluzione'12 (d3s_599XXE_12)
27.01.2020 05:32:54: 1h 57min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_civic_17_COP @035009..
27.01.2020 05:35:00: 1h 59min | [1k-40] Jose Santana(76561198206026112) | Zeus Zander Marino(76561198180893505) @034007
27.01.2020 05:35:00: 1h 59min | [1k-40] Jose Santana(76561198206026112) | Zeus - civ_1(76561198180893505)
27.01.2020 05:35:17: 1h 59min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 05:35:53: 2h 0min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:35:53: 2h 0min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:36:16: 2h 0min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_2(76561198860031547)
27.01.2020 05:36:18: 2h 1min | [1k-40] Jose Santana(76561198206026112) | Heal - cop_1(76561198206026112)
27.01.2020 05:37:45: 2h 2min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
27.01.2020 05:37:50: 2h 2min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 05:38:23: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Pagani Zonda Barchetta R'18 (d3s_zonda_18_R)
27.01.2020 05:38:25: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Pagani Zonda Barchetta '18 (d3s_zonda_18)
27.01.2020 05:38:43: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti La Voiture Noire ''110 ans Bugatti''19 (d3s_voiture_19_B)
27.01.2020 05:38:45: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti La Voiture Noire '19 (d3s_voiture_19)
27.01.2020 05:38:46: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti Veyron 16.4 Super Sport '12 (d3s_veyron_12_SS)
27.01.2020 05:38:47: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti Veyron '11 (d3s_veyron_12)
27.01.2020 05:38:48: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti Centodieci ''EB110 Homage''19 (d3s_eb110_19_H)
27.01.2020 05:38:49: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti Centodieci '19 (d3s_eb110_19)
27.01.2020 05:38:51: 2h 3min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti Divo EX'19 (d3s_divo_19_P)
27.01.2020 05:40:05: 2h 4min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:40:06: 2h 4min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:40:21: 2h 5min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:40:21: 2h 5min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:42:02: 2h 6min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_divo_19_P @034008..
27.01.2020 05:42:22: 2h 7min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:42:23: 2h 7min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:42:31: 2h 7min | [1k-40] Jose Santana(76561198206026112) | unlocked - [d3s_zonda_18]
27.01.2020 05:44:38: 2h 9min | [1k-40] Jose Santana(76561198206026112) | unlocked - [d3s_zonda_18_R]
27.01.2020 05:44:49: 2h 9min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_eb110_19_H @034008..
27.01.2020 05:44:53: 2h 9min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_voiture_19 @034008..
27.01.2020 05:44:55: 2h 9min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_599XXE_12 @034008..
27.01.2020 05:45:13: 2h 9min | [1k-40] Jose Santana(76561198206026112) | spawning Porsche Macan'16 COP (d3s_macan_16_COP)
27.01.2020 05:45:14: 2h 9min | [1k-40] Jose Santana(76561198206026112) | spawning Porsche Macan'16 EMS (d3s_macan_16_EMS)
27.01.2020 05:45:16: 2h 9min | [1k-40] Jose Santana(76561198206026112) | spawning MadMax Cardinal Grinder (Cardinal_Grinder)
27.01.2020 05:45:17: 2h 9min | [1k-40] Jose Santana(76561198206026112) | spawning MadMax Righteous Spike (Righteous_Spike)
27.01.2020 05:45:19: 2h 10min | [1k-40] Jose Santana(76561198206026112) | spawning Chevrolet Malibu Police Unmarked'18 (d3s_malibu_18_UNM)
27.01.2020 05:45:22: 2h 10min | [1k-40] Jose Santana(76561198206026112) | spawning McLaren 720S P14'19 (d3s_mclaren_18)
27.01.2020 05:45:23: 2h 10min | [1k-40] Jose Santana(76561198206026112) | spawning McLaren Vorsteiner 720S P14'19 (d3s_mclaren_18_V)
27.01.2020 05:45:24: 2h 10min | [1k-40] Jose Santana(76561198206026112) | spawning McLaren 720S [Police] (d3s_mclaren_18_COP)
27.01.2020 05:45:28: 2h 10min | [1k-40] Jose Santana(76561198206026112) | spawning  KTM 1290 Super Duke (d3s_KTM_1290_Super_Duke)
27.01.2020 05:45:47: 2h 10min | [1k-40] Jose Santana(76561198206026112) | spawning Koenigsegg Regera '15 (d3s_regera_15)
27.01.2020 05:45:50: 2h 10min | [1k-40] Jose Santana(76561198206026112) | spawning Koenigsegg Regera R'15 (d3s_regera_15_R)
27.01.2020 05:46:50: 2h 11min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [CIV](76561198180893505)
27.01.2020 05:48:39: 2h 13min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:48:39: 2h 13min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 05:48:50: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_KTM_1290_Super_Duke @034008..
27.01.2020 05:48:55: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_macan_16_EMS @034008..
27.01.2020 05:48:56: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_macan_16_COP @034008..
27.01.2020 05:49:00: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_malibu_18_UNM @034008..
27.01.2020 05:49:04: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_eb110_19 @034008..
27.01.2020 05:49:06: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_veyron_12 @034008..
27.01.2020 05:49:08: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_voiture_19_B @034008..
27.01.2020 05:49:10: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_veyron_12_SS @034008..
27.01.2020 05:49:13: 2h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_zonda_18 @034008..
27.01.2020 05:49:26: 2h 14min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_regera_15_R @034008..
27.01.2020 05:49:30: 2h 14min | [1k-40] Jose Santana(76561198206026112) | Deleting Cardinal_Grinder @034008..
27.01.2020 05:49:32: 2h 14min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_mclaren_18_V @034008..
27.01.2020 05:49:38: 2h 14min | [1k-40] Jose Santana(76561198206026112) | Deleting Righteous_Spike @034008..
27.01.2020 05:50:28: 2h 15min | [1k-40] Jose Santana(76561198206026112) | spawning Ferrari LaFerrari Prototipo'14 (d3s_LaFerrari_14_P)
27.01.2020 05:50:39: 2h 15min | [1k-40] Jose Santana(76561198206026112) | spawning Ford Model A Sultan (d3s_model_a)
27.01.2020 05:51:11: 2h 15min | [1k-40] Jose Santana(76561198206026112) | spawning Nissan Silvia S15 Rocket Bunny'02 (d3s_silvia_s15_02)
27.01.2020 05:51:13: 2h 15min | [1k-40] Jose Santana(76561198206026112) | spawning Nissan Silvia S15 Rocket Bunny'02 Yamaguchi-Gumi (YG_silvia_s15_02)
27.01.2020 05:51:17: 2h 15min | [1k-40] Jose Santana(76561198206026112) | spawning Nissan Skyline GT-R (R34)'02 (d3s_skyline_02)
27.01.2020 05:51:17: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Nissan Skyline GT-R V-Spec II (R34)'02 (d3s_skyline_02_V)
27.01.2020 05:51:18: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Nissan Skyline GT-R Mine's (R34)'02 (d3s_skyline_02_M)
27.01.2020 05:51:38: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Nissan Titan Warrior'17 (d3s_titan_17)
27.01.2020 05:51:46: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Vorsteiner Lada Vesta'15 VFS2 (d3s_vesta_15_EX)
27.01.2020 05:51:55: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Subaru WRX'17 FnF8 (d3s_wrx_sti_YG)
27.01.2020 05:51:57: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Subaru WRX STI'17 (d3s_wrx_sti_17)
27.01.2020 05:52:06: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Jaguar F-Type'16 (d3s_FType_19)
27.01.2020 05:52:07: 2h 16min | [1k-40] Jose Santana(76561198206026112) | spawning Jaguar F-Type SVR'19 (d3s_FType_19_SVR)
27.01.2020 05:52:27: 2h 17min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_1(76561198180893505)
27.01.2020 05:54:38: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_skyline_02_V @034008..
27.01.2020 05:54:43: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_skyline_02 @034008..
