04.03.2020 14:21:28: 2h 21min | Donnie Turbo(76561198041233395) | DayTime
04.03.2020 15:52:02: 3h 51min | Donnie Turbo(76561198041233395) | Teleport to [4619.06,3376.1,0](GPS: 046003)
04.03.2020 15:55:55: 3h 55min | Donnie Turbo(76561198041233395) | Teleport to [5085.9,3523.68,0](GPS: 050004)
04.03.2020 15:59:35: 3h 59min | Donnie Turbo(76561198041233395) | Teleport to [4621.69,3655.01,0](GPS: 046005)
04.03.2020 16:02:51: 4h 2min | Donnie Turbo(76561198041233395) | DayTime
04.03.2020 16:09:28: 4h 9min | Donnie Turbo(76561198041233395) | Teleport to [3498.26,4260.11,0](GPS: 034011)
04.03.2020 16:12:42: 4h 12min | Donnie Turbo(76561198041233395) | Teleport to [3124.17,3564.69,0](GPS: 031004)
04.03.2020 16:46:13: 4h 45min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198041233395)
04.03.2020 16:48:39: 4h 48min | Donnie Turbo(76561198041233395) | noRecoil - 0
04.03.2020 16:48:41: 4h 48min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
04.03.2020 16:49:47: 4h 49min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
04.03.2020 16:49:48: 4h 49min | Donnie Turbo(76561198041233395) | noRecoil - 1
04.03.2020 16:52:47: 4h 52min | Donnie Turbo(76561198041233395) | DayTime
04.03.2020 16:53:58: 4h 53min | Donnie Turbo(76561198041233395) | 
04.03.2020 16:55:58: 4h 55min | Donnie Turbo(76561198041233395) | spawning 2rnd Dagon Breath (2Rnd_12Gauge_Dagon_Breath)
04.03.2020 17:10:55: 5h 10min | Donnie Turbo(76561198041233395) | Teleport to [4868.45,3351.92,0](GPS: 048002)
04.03.2020 17:12:39: 5h 12min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @049002..
04.03.2020 17:12:51: 5h 12min | Donnie Turbo(76561198041233395) | Teleport to [5553.08,4329.03,0](GPS: 055012)
04.03.2020 17:14:31: 5h 14min | Donnie Turbo(76561198041233395) | Teleport to [4856.75,3343.93,0](GPS: 048002)
04.03.2020 17:15:44: 5h 15min | Donnie Turbo(76561198041233395) | Teleport to [4311.78,3656.49,0](GPS: 043005)
04.03.2020 17:16:43: 5h 16min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
04.03.2020 17:16:44: 5h 16min | Donnie Turbo(76561198041233395) | noRecoil - 0
04.03.2020 17:18:31: 5h 18min | Wyclef(76561198038112694) | Teleport to [3666.27,3234.8,0](GPS: 036001)
04.03.2020 17:18:41: 5h 18min | Wyclef(76561198038112694) | Teleport to [3655.07,3240.9,0](GPS: 036001)
04.03.2020 17:20:50: 5h 20min | Wyclef(76561198038112694) | Teleport to [5016.37,4461.78,0](GPS: 050013)
04.03.2020 17:22:50: 5h 22min | Wyclef(76561198038112694) | Teleport to [3610.56,3451.55,0](GPS: 036003)
04.03.2020 17:48:01: 5h 47min | Donnie Turbo(76561198041233395) | Teleport to [3469.39,4226.22,0](GPS: 034011)
04.03.2020 17:53:50: 5h 53min | K-12 J. Shepard(76561198043298972) | spawning Ford Mustang Unmarked (MkV) '13 (d3s_boss_13_UNM)
04.03.2020 17:53:56: 5h 53min | K-12 J. Shepard(76561198043298972) | locked - [d3s_boss_13_UNM]
04.03.2020 18:04:51: 6h 4min | Wyclef(76561198038112694) | HealRepairNear
04.03.2020 18:05:09: 6h 4min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_boss_13_UNM]
04.03.2020 18:07:54: 6h 7min | K-12 J. Shepard(76561198043298972) | Deleting Wyclef(76561198038112694) vehicle: d3s_boss_13_UNM @015006..
04.03.2020 18:08:02: 6h 7min | K-12 J. Shepard(76561198043298972) | spawning Dodge Charger SRT Unmarked'15 (d3s_srthellcat_15_UNM)
04.03.2020 18:08:13: 6h 7min | K-12 J. Shepard(76561198043298972) | Deleting Wyclef(76561198038112694) vehicle: d3s_srthellcat_15_UNM @015005..
04.03.2020 18:08:31: 6h 8min | K-12 J. Shepard(76561198043298972) | spawning BMW X6 M Police Unmarked(F86)'15 (d3s_f86_15_UNM)
04.03.2020 18:08:44: 6h 8min | K-12 J. Shepard(76561198043298972) | locked - [d3s_f86_15_UNM]
04.03.2020 18:12:24: 6h 12min | Wyclef(76561198038112694) | unlocked - [d3s_f86_15_UNM]
04.03.2020 18:21:51: 6h 21min | Wyclef(76561198038112694) | Revive - cop_2(76561198043298972)
04.03.2020 18:40:06: 6h 39min | K-12 J. Shepard(76561198043298972) | locked - [d3s_f86_15_UNM]
04.03.2020 18:40:35: 6h 40min | K-12 J. Shepard(76561198043298972) | HealRepairNear
04.03.2020 18:44:11: 6h 43min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_f86_15_UNM]
04.03.2020 18:44:13: 6h 43min | K-12 J. Shepard(76561198043298972) | locked - [d3s_f86_15_UNM]
04.03.2020 18:44:54: 6h 44min | Wyclef(76561198038112694) | HealRepairNear
04.03.2020 19:24:38: 7h 24min | Wyclef(76561198038112694) | Teleport to [3453.52,4245,0](GPS: 034011)
04.03.2020 19:24:40: 7h 24min | Wyclef(76561198038112694) | Teleport to [3439.26,4240.19,0](GPS: 034011)
04.03.2020 19:24:42: 7h 24min | Wyclef(76561198038112694) | Teleport to [3417.19,4244.25,0](GPS: 034011)
04.03.2020 19:25:27: 7h 25min | Wyclef(76561198038112694) | Teleport to [3404.27,4254.31,0](GPS: 034011)
04.03.2020 19:25:32: 7h 25min | Wyclef(76561198038112694) | Teleport to [3460.48,4245.45,0](GPS: 034011)
04.03.2020 19:26:01: 7h 25min | K-12 J. Shepard(76561198043298972) | spawning Dodge Challenger Police Undercover'15 (d3s_challenger_15_CPU)
04.03.2020 19:26:23: 7h 26min | Wyclef(76561198038112694) | Teleport to [3403.88,4250.4,0](GPS: 034011)
04.03.2020 19:26:31: 7h 26min | Donnie Turbo(76561198041233395) | spawning Kozlice 12G (sgun_HunterShotgun_01_F)
04.03.2020 19:26:31: 7h 26min | Wyclef(76561198038112694) | Teleport to [3455.45,4239.14,0](GPS: 034011)
04.03.2020 19:27:32: 7h 27min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:28:08: 7h 27min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
04.03.2020 19:28:09: 7h 27min | Donnie Turbo(76561198041233395) | noRecoil - 1
04.03.2020 19:28:28: 7h 28min | Wyclef(76561198038112694) | Revive - civ_2(76561198038112694)
04.03.2020 19:28:52: 7h 28min | Wyclef(76561198038112694) | Teleport to [3507.23,3023.73,0](GPS: 035999)
04.03.2020 19:28:54: 7h 28min | Donnie Turbo(76561198041233395) | Teleport to [3522.59,2994.27,0](GPS: 035999)
04.03.2020 19:29:12: 7h 28min | Nino Marino(76561198206026112) | Teleport to [3388.1,3345.97,0](GPS: 033002)
04.03.2020 19:29:16: 7h 28min | Wyclef(76561198038112694) | Teleport to [3669.39,3332.72,0](GPS: 036002)
04.03.2020 19:34:54: 7h 34min | Wyclef(76561198038112694) | HealRepairNear
04.03.2020 19:35:06: 7h 34min | Wyclef(76561198038112694) | unlocked - [d3s_taurus_FPI_10]
04.03.2020 19:35:12: 7h 34min | Wyclef(76561198038112694) | locked - [d3s_taurus_FPI_10]
04.03.2020 19:36:43: 7h 36min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @036002..
04.03.2020 19:37:03: 7h 36min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:37:04: 7h 36min | Wyclef(76561198038112694) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:37:38: 7h 37min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:37:40: 7h 37min | Wyclef(76561198038112694) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:37:40: 7h 37min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:37:42: 7h 37min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:47:07: 7h 46min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:47:07: 7h 46min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:47:10: 7h 46min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:47:12: 7h 46min | Wyclef(76561198038112694) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:48:30: 7h 48min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:48:31: 7h 48min | Wyclef(76561198038112694) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:51:21: 7h 51min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:51:21: 7h 51min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:51:22: 7h 51min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:51:23: 7h 51min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:52:05: 7h 51min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 19:52:06: 7h 51min | Wyclef(76561198038112694) | locked - [d3s_challenger_15_CPU]
04.03.2020 19:52:44: 7h 52min | K-12 J. Shepard(76561198043298972) | HealRepairNear
04.03.2020 19:54:13: 7h 53min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @034000..
04.03.2020 19:58:51: 7h 58min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
04.03.2020 19:58:52: 7h 58min | Donnie Turbo(76561198041233395) | noRecoil - 0
04.03.2020 20:00:00: 7h 59min | K-12 J. Shepard(76561198043298972) | HealRepairNear
04.03.2020 20:00:17: 7h 59min | K-12 J. Shepard(76561198043298972) | HealRepairNear
04.03.2020 20:04:55: 8h 4min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 20:04:56: 8h 4min | Wyclef(76561198038112694) | locked - [d3s_challenger_15_CPU]
04.03.2020 20:05:22: 8h 5min | Wyclef(76561198038112694) | Added 1 boltcutters to Wyclef!
04.03.2020 20:05:42: 8h 5min | Wyclef(76561198038112694) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 20:05:45: 8h 5min | Wyclef(76561198038112694) | locked - [d3s_challenger_15_CPU]
04.03.2020 20:05:57: 8h 5min | Wyclef(76561198038112694) | HealRepairNear
04.03.2020 20:10:21: 8h 10min | Nino Marino(76561198206026112) | God Mode - 1
04.03.2020 20:10:27: 8h 10min | Nino Marino(76561198206026112) | Teleport to [3484.54,4174.08,0](GPS: 034011)
04.03.2020 20:21:48: 8h 21min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 20:21:59: 8h 21min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 20:22:28: 8h 22min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 20:22:36: 8h 22min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 20:22:36: 8h 22min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 20:22:37: 8h 22min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 20:23:37: 8h 23min | Donnie Turbo(76561198041233395) | Deleting d3s_zil_130_06 @022011..
04.03.2020 20:27:41: 8h 27min | K-12 J. Shepard(76561198043298972) | unlocked - [d3s_challenger_15_CPU]
04.03.2020 20:33:13: 8h 32min | K-12 J. Shepard(76561198043298972) | locked - [d3s_challenger_15_CPU]
04.03.2020 20:43:16: 8h 42min | K-12 J. Shepard(76561198043298972) | Deleting d3s_challenger_15_CPU @035999..
04.03.2020 20:44:13: 8h 43min | Nino Marino(76561198206026112) | God Mode - 0
04.03.2020 20:44:43: 8h 44min | Nino Marino(76561198206026112) | Teleport to [3415.46,4177.31,0](GPS: 034011)
04.03.2020 20:45:20: 8h 44min | Nino Marino(76561198206026112) | Teleport to [5510.62,4381.92,0](GPS: 055013)
04.03.2020 21:02:34: 9h 2min | Nino Marino(76561198206026112) | Added 3 cocaine_processeds to Nino Marino!
