31.01.2020 00:06:05: 7h 38min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Bergen Backpack (MTP) (B_Bergen_mcamo_F)
31.01.2020 01:36:30: 9h 8min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport In Facing Direction (10m steps) - 1
31.01.2020 01:36:30: 9h 8min | Nino Marino(76561198206026112) | Teleport to [3135.25,5054.21,0](GPS: 031019)
31.01.2020 01:41:26: 9h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3402.68,3205.24,0](GPS: 034001)
31.01.2020 01:41:31: 9h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 0
31.01.2020 01:41:32: 9h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 0
31.01.2020 01:41:32: 9h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 0
31.01.2020 01:41:33: 9h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | Vehboost - 0
31.01.2020 01:43:17: 9h 15min | Nino Marino(76561198206026112) | Teleport to [3445.35,4197.96,0](GPS: 034011)
31.01.2020 01:43:29: 9h 15min | Nino Marino(76561198206026112) | God Mode - 0
31.01.2020 01:43:30: 9h 15min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
31.01.2020 01:44:16: 9h 16min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3411.29,4181.21,0](GPS: 034011)
31.01.2020 02:01:44: 9h 34min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3413.96,3211.93,0](GPS: 034001)
31.01.2020 02:04:27: 9h 36min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
31.01.2020 02:04:35: 9h 36min | Nino Marino(76561198206026112) | Teleport - Me To Target - Boyevik Butch-Mac Volkev [CIV](76561198089960350)
31.01.2020 02:05:12: 9h 37min | Nino Marino(76561198206026112) | Teleport to [3417.55,4166.78,0](GPS: 034010)
31.01.2020 02:06:08: 9h 38min | Donnie Turbo(76561198041233395) | Vehicle God Mode - 1
31.01.2020 02:33:07: 10h 5min | Nino Marino(76561198206026112) | Added 3 blastingcharges to Boyevik Butch-Mac Volkev!
31.01.2020 02:34:21: 10h 6min | Nino Marino(76561198206026112) | Added 2 codeCrackers to Boyevik Butch-Mac Volkev!
31.01.2020 02:34:30: 10h 6min | Nino Marino(76561198206026112) | Added 2 boltcutters to Boyevik Butch-Mac Volkev!
31.01.2020 02:36:29: 10h 8min | Nino Marino(76561198206026112) | spawning A3L Ash Ketchum Hat (A3L_Ash_Cap)
31.01.2020 02:39:16: 10h 11min | Nino Marino(76561198206026112) | spawning RPG-7 (launch_RPG7_F)
31.01.2020 02:40:37: 10h 12min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @027015..
31.01.2020 02:49:15: 10h 21min | Donnie Turbo(76561198041233395) | Vehicle God Mode - 0
31.01.2020 02:49:22: 10h 21min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
31.01.2020 03:02:48: 10h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
31.01.2020 03:04:08: 10h 36min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3664.47,3244.26,0](GPS: 036001)
31.01.2020 03:06:26: 10h 38min | Nino Marino(76561198206026112) | Added 3 cocaine_processeds to Nino Marino!
31.01.2020 03:30:38: 11h 2min | Donnie Turbo(76561198041233395) | unlocked - [d3s_g800_17]
31.01.2020 03:30:57: 11h 3min | Donnie Turbo(76561198041233395) | locked - [d3s_g800_17]
31.01.2020 03:32:25: 11h 4min | Donnie Turbo(76561198041233395) | HealRepairNear
31.01.2020 03:32:27: 11h 4min | Donnie Turbo(76561198041233395) | HealRepairNear
31.01.2020 03:40:04: 11h 12min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - C_man_1
31.01.2020 03:40:10: 11h 12min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
31.01.2020 03:40:15: 11h 12min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - B_RangeMaster_F
31.01.2020 03:40:19: 11h 12min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Nino Marino(76561198206026112) - C_man_1
31.01.2020 03:40:20: 11h 12min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
31.01.2020 03:40:23: 11h 12min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - C_man_1
31.01.2020 03:50:27: 11h 22min | Nino Marino(76561198206026112) | Added 20 cocaine_processeds to luke!
31.01.2020 03:50:59: 11h 23min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3768.88,3192.75,0](GPS: 037001)
31.01.2020 03:51:08: 11h 23min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
31.01.2020 03:53:35: 11h 25min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3415.07,3204.76,0](GPS: 034001)
31.01.2020 03:54:45: 11h 27min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - C_man_1
31.01.2020 03:55:31: 11h 27min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3571.52,3227.28,0](GPS: 035001)
31.01.2020 03:57:18: 11h 29min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3846.57,3281.11,0](GPS: 038002)
31.01.2020 04:22:03: 11h 54min | Nino Marino(76561198206026112) | unlocked - [d3s_charger_15_CPP]
31.01.2020 04:25:30: 11h 57min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @033011..
31.01.2020 04:26:20: 11h 58min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In My Vehicle - Harold Reginald [CIV](76561198355765034)
31.01.2020 04:26:21: 11h 58min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In My Vehicle - Harold Reginald [CIV](76561198355765034)
31.01.2020 04:28:00: 11h 60min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3367.18,4166.8,0](GPS: 033010)
31.01.2020 04:28:09: 11h 60min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @033011..
31.01.2020 04:38:28: 12h 10min | Wyclef(76561198038112694) | Restrain - civ_2(76561198038112694)
31.01.2020 04:38:31: 12h 10min | Wyclef(76561198038112694) | Restrain - civ_2(76561198038112694)
31.01.2020 04:45:22: 12h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [2677.99,6534.1,0](GPS: 026034)
31.01.2020 04:45:35: 12h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 1
31.01.2020 04:55:33: 12h 27min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [5237.84,5112.93,0](GPS: 052020)
31.01.2020 05:01:52: 12h 34min | Wyclef(76561198038112694) | Teleport to [5434.21,3050.66,0](GPS: 054999)
31.01.2020 05:02:04: 12h 34min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 05:09:42: 12h 42min | Wyclef(76561198038112694) | Teleport to [3606.93,3184.83,0](GPS: 036001)
31.01.2020 05:10:41: 12h 42min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 05:12:22: 12h 44min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @031019..
31.01.2020 05:24:00: 12h 56min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @036002..
31.01.2020 05:24:02: 12h 56min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @036002..
31.01.2020 05:25:56: 12h 58min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 05:31:05: 13h 3min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 06:04:52: 13h 37min | Jbo Marino[201](76561198206026112) | Teleport to [3516.44,2960.01,0](GPS: 035998)
31.01.2020 06:47:41: 14h 19min | Carlos F. Diaz(76561197999316388) | infiSTAR MapIcons - 1
31.01.2020 06:47:59: 14h 20min | Carlos F. Diaz(76561197999316388) | Teleport to [3933.17,3609.61,0](GPS: 039005)
31.01.2020 06:49:32: 14h 21min | Carlos F. Diaz(76561197999316388) | Teleport to [5045.5,4419.16,0](GPS: 050013)
31.01.2020 06:50:25: 14h 22min | Carlos F. Diaz(76561197999316388) | 250K Cash
31.01.2020 06:50:26: 14h 22min | Carlos F. Diaz(76561197999316388) | 100K Cash
31.01.2020 06:50:27: 14h 22min | Carlos F. Diaz(76561197999316388) | 100K Cash
31.01.2020 06:50:33: 14h 22min | Carlos F. Diaz(76561197999316388) | Teleport to [5037.66,4438.37,0](GPS: 050013)
31.01.2020 06:51:06: 14h 23min | Carlos F. Diaz(76561197999316388) | Teleport to [3731.22,4359.76,0](GPS: 037012)
31.01.2020 06:51:56: 14h 24min | Carlos F. Diaz(76561197999316388) | HealRepairNear
31.01.2020 06:55:08: 14h 27min | Carlos F. Diaz(76561197999316388) | 50K Cash
31.01.2020 07:30:16: 15h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
31.01.2020 07:30:34: 15h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 1
31.01.2020 07:30:36: 15h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [4288.67,3874.13,0](GPS: 042008)
31.01.2020 07:31:06: 15h 3min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [4243.96,3857.28,0](GPS: 042007)
31.01.2020 07:31:15: 15h 3min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Carlos F. Diaz [CIV](76561197999316388)
31.01.2020 07:31:18: 15h 3min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Carlos F. Diaz [CIV](76561197999316388)
31.01.2020 07:31:42: 15h 4min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 0
31.01.2020 07:31:43: 15h 4min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 0
31.01.2020 07:31:47: 15h 4min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
31.01.2020 07:32:27: 15h 4min | Carlos F. Diaz(76561197999316388) | Deleting GroundWeaponHolder @042007..
31.01.2020 07:33:18: 15h 5min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [4887.08,4269.53,0](GPS: 048011)
31.01.2020 07:33:39: 15h 5min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - Uriah Oxford [CIV](76561198041276439)
31.01.2020 07:34:15: 15h 6min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In My Vehicle - Carlos F. Diaz [CIV](76561197999316388)
31.01.2020 07:34:58: 15h 7min | Wyclef(76561198038112694) | Teleport to [3640.64,3335.94,0](GPS: 036002)
31.01.2020 07:35:41: 15h 7min | Carlos F. Diaz(76561197999316388) | unlocked - [d3s_cherokee_18_TRCK]
31.01.2020 07:35:56: 15h 8min | Boyevik Butch-Mac Volkev(76561198089960350) | locked - [d3s_cherokee_18_TRCK]
31.01.2020 07:37:06: 15h 9min | Wyclef(76561198038112694) | Stealth / Invisible - 1
31.01.2020 07:37:08: 15h 9min | Wyclef(76561198038112694) | God Mode - 1
31.01.2020 07:37:13: 15h 9min | Wyclef(76561198038112694) | Teleport to [7482.83,3204.45,0](GPS: 074001)
31.01.2020 07:39:17: 15h 11min | Wyclef(76561198038112694) | Heal - cop_3(76561198860031547)
31.01.2020 07:39:27: 15h 11min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
31.01.2020 07:39:33: 15h 11min | Wyclef(76561198038112694) | Revive - medic_1(76561198105940600)
31.01.2020 07:40:59: 15h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - Uriah Oxford [CIV](76561198041276439)
31.01.2020 07:41:00: 15h 13min | Wyclef(76561198038112694) | Stealth / Invisible - 0
31.01.2020 07:41:01: 15h 13min | Wyclef(76561198038112694) | God Mode - 0
31.01.2020 07:41:05: 15h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - Carlos F. Diaz [CIV](76561197999316388)
31.01.2020 07:41:14: 15h 13min | Carlos F. Diaz(76561197999316388) | Teleport to [4382.84,3867.57,0](GPS: 043007)
31.01.2020 07:41:15: 15h 13min | Nino Marino(76561198206026112) | Deleting HoyoBani(76561198105940600) vehicle: O_Heli_Light_02_unarmed_F @074001..
31.01.2020 07:41:19: 15h 13min | Carlos F. Diaz(76561197999316388) | Teleport to [4335.46,3896.75,0](GPS: 043008)
31.01.2020 07:41:25: 15h 13min | Carlos F. Diaz(76561197999316388) | Teleport to [4317.54,3885.65,0](GPS: 043008)
31.01.2020 07:41:30: 15h 13min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 07:42:50: 15h 15min | Carlos F. Diaz(76561197999316388) | HealRepairNear
31.01.2020 07:42:53: 15h 15min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 1
31.01.2020 07:43:02: 15h 15min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3983.9,4058.95,0](GPS: 039009)
31.01.2020 07:43:25: 15h 15min | Wyclef(76561198038112694) | Teleport to [3638.71,3336.93,0](GPS: 036002)
31.01.2020 07:52:13: 15h 24min | Wyclef(76561198038112694) | Added 2 zipties to Wyclef!
31.01.2020 07:53:39: 15h 25min | Nino Marino(76561198206026112) | Teleport - Target To Me - Rick Cheney [CIV](76561198860031547)
31.01.2020 07:53:57: 15h 26min | Nino Marino(76561198206026112) | Heal - civ_8(76561198860031547)
31.01.2020 08:03:28: 15h 35min | Carlos F. Diaz(76561197999316388) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
31.01.2020 08:03:51: 15h 36min | Carlos F. Diaz(76561197999316388) | Deleting GroundWeaponHolder @055011..
31.01.2020 08:06:04: 15h 38min | Carlos F. Diaz(76561197999316388) | Unrestrain - cop_2(76561198054085448)
31.01.2020 08:06:13: 15h 38min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting d3s_escalade_16 @036009..
31.01.2020 08:07:28: 15h 39min | Carlos F. Diaz(76561197999316388) | spawning Hummer H2'02 Black (d3s_h2_02_Black)
31.01.2020 08:12:38: 15h 44min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 08:18:05: 15h 50min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 08:20:21: 15h 52min | Wyclef(76561198038112694) | Teleport to [3964.54,2293.83,0](GPS: 039992)
31.01.2020 08:20:26: 15h 52min | Wyclef(76561198038112694) | Teleport to [4276.22,2249.74,0](GPS: 042991)
31.01.2020 08:31:14: 16h 3min | Carlos F. Diaz(76561197999316388) | AdminConsole
31.01.2020 08:31:22: 16h 3min | Carlos F. Diaz(76561197999316388) | AdminConsole
31.01.2020 08:37:06: 16h 9min | Carlos F. Diaz(76561197999316388) | Deleting d3s_h2_02_Black @036002..
31.01.2020 08:39:24: 16h 11min | Wyclef(76561198038112694) | Revive - civ_6(76561198038112694)
31.01.2020 08:42:26: 16h 14min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_2(76561197999316388)
31.01.2020 08:43:48: 16h 16min | Carlos F. Diaz(76561197999316388) | Vehicle Marker - 1
31.01.2020 08:44:45: 16h 17min | Carlos F. Diaz(76561197999316388) | spawning Hummer H2'02 Black (d3s_h2_02_Black)
31.01.2020 09:05:16: 16h 37min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 09:08:47: 16h 41min | Wyclef(76561198038112694) | HealRepairNear
31.01.2020 09:14:57: 16h 47min | Carlos F. Diaz(76561197999316388) | Deleting d3s_h1_06 @031019..
31.01.2020 09:45:31: 17h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting GroundWeaponHolder @055012..
31.01.2020 09:47:18: 17h 19min | Carlos F. Diaz(76561197999316388) | Deleting GroundWeaponHolder @055012..
31.01.2020 09:51:01: 17h 23min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3868.07,3574.41,0](GPS: 038005)
31.01.2020 09:51:04: 17h 23min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3931.18,3607.77,0](GPS: 039005)
31.01.2020 09:51:26: 17h 23min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - C_man_1
31.01.2020 09:54:19: 17h 26min | Nino Marino(76561198206026112) | Teleport to [3921.67,3601.95,0](GPS: 039005)
31.01.2020 10:32:49: 18h 5min | Carlos F. Diaz(76561197999316388) | Deleting d3s_charger_15_CPP @034011..
31.01.2020 10:33:50: 18h 6min | Carlos F. Diaz(76561197999316388) | HealRepairNear
31.01.2020 10:39:50: 18h 12min | Nino Marino(76561198206026112) | Heal - civ_4(76561198206026112)
31.01.2020 10:39:53: 18h 12min | Nino Marino(76561198206026112) | God Mode - 1
31.01.2020 10:39:54: 18h 12min | Nino Marino(76561198206026112) | God Mode - 0
31.01.2020 10:51:19: 18h 23min | Carlos F. Diaz(76561197999316388) | Force Disconnect - civ_3(76561198089960350)
31.01.2020 10:51:23: 18h 23min | Carlos F. Diaz(76561197999316388) | Kick (Announce) - civ_2(76561197999316388)
