30.01.2020 00:12:14: 1h 2min | Nino Marino(76561198206026112) | 500K Cash
30.01.2020 02:20:35: 3h 10min | Wyclef(76561198038112694) | Teleport to [1777.54,3507.63,0](GPS: 017004)
30.01.2020 02:20:54: 3h 10min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3842.2,3270.11,0](GPS: 038001)
30.01.2020 02:20:58: 3h 11min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport - Target To Me - Eriden Parker [WEST](76561198054085448)
30.01.2020 02:21:00: 3h 11min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport - Target To Me - Rick Cheney [WEST](76561198860031547)
30.01.2020 02:21:15: 3h 11min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport - Target To Me - [1k-40] Jose Santana [WEST](76561198206026112)
30.01.2020 02:21:34: 3h 11min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Deleting GroundWeaponHolder @038001..
30.01.2020 02:21:44: 3h 11min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [1660.5,3622.86,0](GPS: 016005)
30.01.2020 02:22:06: 3h 12min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
30.01.2020 02:22:16: 3h 12min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6794.86,2568.85,0](GPS: 067994)
30.01.2020 02:22:19: 3h 12min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Deleting d3s_tiger_233034 @068994..
30.01.2020 02:22:20: 3h 12min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6726.03,2463.38,0](GPS: 067993)
30.01.2020 02:22:22: 3h 12min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Deleting d3s_tiger_233034 @067993..
30.01.2020 02:22:29: 3h 12min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [1657.51,3620.74,0](GPS: 016005)
30.01.2020 02:22:32: 3h 12min | H̩ctor "Lil Loco" Arturo(76561197999316388) | HealRepairNear
30.01.2020 02:22:40: 3h 12min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 02:22:56: 3h 12min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Deleting d3s_insurgent_gtaV @016005..
30.01.2020 02:32:06: 3h 22min | Wyclef(76561198038112694) | Added 5 cocaine_processeds to Wyclef!
30.01.2020 02:32:41: 3h 22min | H̩ctor "Lil Loco" Arturo(76561197999316388) | spawning coca (200g) (pop_coca_b)
30.01.2020 02:47:33: 3h 37min | Wyclef(76561198038112694) | Teleport to [3933.83,3589.21,0](GPS: 039005)
30.01.2020 02:48:52: 3h 38min | Wyclef(76561198038112694) | Teleport to [3516.98,3087.54,0](GPS: 035000)
30.01.2020 02:49:28: 3h 39min | Wyclef(76561198038112694) | Teleport to [3898.34,3623.83,0](GPS: 038005)
30.01.2020 02:54:01: 3h 44min | Wyclef(76561198038112694) | Teleport to [5439.22,3046.74,0](GPS: 054999)
30.01.2020 03:02:21: 3h 52min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - C_man_1
30.01.2020 03:02:59: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - d3s_charger_15_CPP
30.01.2020 03:03:03: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - d3s_charger_15_CPP
30.01.2020 03:03:06: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Eddie Spaghetti(76561198046997779) - d3s_qx56_13_EX2
30.01.2020 03:03:11: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - B_RangeMaster_F
30.01.2020 03:03:19: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on [1K-12] J Shepard(76561198043298972) - d3s_charger_15_CPP
30.01.2020 03:03:34: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - B_RangeMaster_F
30.01.2020 03:03:36: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on H̩ctor "Lil Loco" Arturo(76561197999316388) - C_man_1
30.01.2020 03:03:41: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Uriah Oxford(76561198027608434) - d3s_beetle_04
30.01.2020 03:03:49: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - d3s_gl63amg_12_SE
30.01.2020 03:03:52: 3h 53min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - d3s_gl63amg_12_SE
30.01.2020 03:03:58: 3h 54min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on [1K-12] J Shepard(76561198043298972) - B_RangeMaster_F
30.01.2020 03:04:05: 3h 54min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - d3s_gl63amg_12_SE
30.01.2020 03:04:07: 3h 54min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @054999..
30.01.2020 03:08:34: 3h 58min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 03:15:11: 4h 5min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Uriah Oxford(76561198027608434) - C_man_1
30.01.2020 03:16:51: 4h 6min | Wyclef(76561198038112694) | Teleport to [3623.34,3293.61,0](GPS: 036002)
30.01.2020 03:22:48: 4h 12min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 03:31:36: 4h 21min | H̩ctor "Lil Loco" Arturo(76561197999316388) | UnlimAmmo - 1
30.01.2020 03:31:40: 4h 21min | H̩ctor "Lil Loco" Arturo(76561197999316388) | FastFire - 1
30.01.2020 03:35:30: 4h 25min | Jbo Marino[201](76561198206026112) | God Mode - 1
30.01.2020 03:35:31: 4h 25min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 03:35:43: 4h 25min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 03:35:44: 4h 25min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 03:35:51: 4h 25min | Jbo Marino[201](76561198206026112) | Teleport to [3865.92,3217.38,0](GPS: 038001)
30.01.2020 03:37:31: 4h 27min | H̩ctor "Lil Loco" Arturo(76561197999316388) | infiSTAR MapIcons - 1
30.01.2020 03:37:34: 4h 27min | H̩ctor "Lil Loco" Arturo(76561197999316388) | UnlimAmmo - 1
30.01.2020 03:39:06: 4h 29min | Jbo Marino[201](76561198206026112) | Teleport - Me To Target - Javier Escuella [CIV](76561198370210333)
30.01.2020 03:39:23: 4h 29min | Jbo Marino[201](76561198206026112) | Move In Target Vehicle - Javier Escuella [CIV](76561198370210333)
30.01.2020 03:40:13: 4h 30min | Jbo Marino[201](76561198206026112) | Unrestrain - civ_8(76561198370210333)
30.01.2020 03:40:32: 4h 30min | Jbo Marino[201](76561198206026112) | Unrestrain - civ_8(76561198370210333)
30.01.2020 03:40:40: 4h 30min | Jbo Marino[201](76561198206026112) | Heal - civ_8(76561198370210333)
30.01.2020 03:40:43: 4h 30min | Jbo Marino[201](76561198206026112) | Heal - civ_1(76561198046997779)
30.01.2020 03:40:44: 4h 30min | Carlos F. Diaz(76561197999316388) | infiSTAR MapIcons - 1
30.01.2020 03:42:13: 4h 32min | Jbo Marino[201](76561198206026112) | Teleport to [3863.54,3207.04,0](GPS: 038001)
30.01.2020 03:53:07: 4h 43min | Carlos F. Diaz(76561197999316388) | unlocked - [d3s_qx56_13_EX2]
30.01.2020 03:53:14: 4h 43min | Carlos F. Diaz(76561197999316388) | locked - [d3s_qx56_13_EX2]
30.01.2020 03:53:45: 4h 43min | Carlos F. Diaz(76561197999316388) | Teleport to [37.872,8148.38,0](GPS: 000050)
30.01.2020 03:53:48: 4h 43min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - B_RangeMaster_F
30.01.2020 03:53:55: 4h 43min | Jbo Marino[201](76561198206026112) | Heal - cop_1(76561198054085448)
30.01.2020 03:54:09: 4h 44min | Carlos F. Diaz(76561197999316388) | Teleport to [3769.59,3033.51,0](GPS: 037999)
30.01.2020 03:54:27: 4h 44min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 03:54:28: 4h 44min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 03:54:51: 4h 44min | Carlos F. Diaz(76561197999316388) | Teleport to [3707.72,3091.64,0](GPS: 037000)
30.01.2020 03:55:07: 4h 45min | Jbo Marino[201](76561198206026112) | Heal - cop_1(76561198054085448)
30.01.2020 03:55:21: 4h 45min | Carlos F. Diaz(76561197999316388) | Teleport to [3655.15,3243.84,0](GPS: 036001)
30.01.2020 03:58:22: 4h 48min | Carlos F. Diaz(76561197999316388) | 100K Cash
30.01.2020 04:00:52: 4h 50min | Carlos F. Diaz(76561197999316388) | Teleport In Facing Direction (10m steps) - 1
30.01.2020 04:01:22: 4h 51min | Carlos F. Diaz(76561197999316388) | Teleport In Facing Direction (10m steps) - 0
30.01.2020 04:06:12: 4h 56min | Carlos F. Diaz(76561197999316388) | 50K Cash
30.01.2020 04:06:44: 4h 56min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 04:08:03: 4h 58min | Carlos F. Diaz(76561197999316388) | HealRepairNear
30.01.2020 04:10:50: 5h 0min | Jbo Marino[201](76561198206026112) | Teleport to [3887.23,3704.21,0](GPS: 038006)
30.01.2020 04:11:05: 5h 1min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 04:11:06: 5h 1min | Jbo Marino[201](76561198206026112) | God Mode - 0
30.01.2020 04:16:53: 5h 6min | Wyclef(76561198038112694) | Added 5 zipties to Wyclef!
30.01.2020 04:17:07: 5h 7min | Wyclef(76561198038112694) | Added 10 coffees to Wyclef!
30.01.2020 04:17:24: 5h 7min | Wyclef(76561198038112694) | Added 10 donutss to Wyclef!
30.01.2020 04:21:16: 5h 11min | Carlos F. Diaz(76561197999316388) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - C_man_1
30.01.2020 04:24:10: 5h 14min | Wyclef(76561198038112694) | Deleting d3s_zil_130_06 @038001..
30.01.2020 04:24:14: 5h 14min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 04:24:44: 5h 14min | Wyclef(76561198038112694) | Teleport to [3930.74,3609.04,0](GPS: 039005)
30.01.2020 04:25:33: 5h 15min | Carlos F. Diaz(76561197999316388) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - B_RangeMaster_F
30.01.2020 04:26:01: 5h 16min | Wyclef(76561198038112694) | Teleport to [34.2624,8161.21,0](GPS: 000050)
30.01.2020 04:26:26: 5h 16min | Wyclef(76561198038112694) | Teleport to [3930.49,3609.54,0](GPS: 039005)
30.01.2020 04:26:44: 5h 16min | Wyclef(76561198038112694) | Teleport to [3849.96,3258.72,0](GPS: 038001)
30.01.2020 04:28:01: 5h 18min | Wyclef(76561198038112694) | Teleport to [3930.26,3605.1,0](GPS: 039005)
30.01.2020 04:29:17: 5h 19min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @038001..
30.01.2020 04:32:22: 5h 22min | Jbo Marino[201](76561198206026112) | spawning Axe (Max_axe)
30.01.2020 04:36:48: 5h 26min | Wyclef(76561198038112694) | Teleport to [3891.16,3262.78,0](GPS: 038001)
30.01.2020 04:41:17: 5h 31min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - C_man_1
30.01.2020 04:44:05: 5h 34min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
30.01.2020 04:44:21: 5h 34min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Carlos F. Diaz(76561197999316388) - C_man_1
30.01.2020 04:44:44: 5h 34min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on [1K-12] J Shepard(76561198043298972) - B_RangeMaster_F
30.01.2020 04:44:51: 5h 34min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - d3s_charger_15_CPP
30.01.2020 04:44:57: 5h 35min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - C_man_1
30.01.2020 04:45:04: 5h 35min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - d3s_charger_15_CPP
30.01.2020 04:45:53: 5h 35min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3931.22,3606.38,0](GPS: 039005)
30.01.2020 04:47:17: 5h 37min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 04:48:24: 5h 38min | Wyclef(76561198038112694) | Eject Crew - Wyclef [CIV](76561198038112694)
30.01.2020 04:50:32: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Maggii Noodles (MaggiiNoodle)
30.01.2020 04:50:37: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Bread (Bread)
30.01.2020 04:50:38: 5h 40min | Jbo Marino[201](76561198206026112) | spawning VB Can (VBCan)
30.01.2020 04:50:41: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Maggii Noodles (MaggiiNoodle)
30.01.2020 04:50:42: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Maggii Noodles (MaggiiNoodle)
30.01.2020 04:50:43: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Meat Pie (MeatPie)
30.01.2020 04:50:44: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Meat Pie (MeatPie)
30.01.2020 04:50:46: 5h 40min | Jbo Marino[201](76561198206026112) | spawning BBQ Shapes (Shapes)
30.01.2020 04:50:47: 5h 40min | Wyclef(76561198038112694) | Teleport to [3934.66,3586.37,0](GPS: 039005)
30.01.2020 04:50:51: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Party Pack (PartyPack)
30.01.2020 04:50:52: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Smith Chips (SmithsChips)
30.01.2020 04:50:54: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Smith Chips (SmithsChips)
30.01.2020 04:50:54: 5h 40min | Jbo Marino[201](76561198206026112) | spawning Smith Chips (SmithsChips)
30.01.2020 04:51:03: 5h 41min | Jbo Marino[201](76561198206026112) | spawning WeetBix (WeetBix)
30.01.2020 04:51:40: 5h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | UnlimAmmo - 1
30.01.2020 04:51:41: 5h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | FastFire - 1
30.01.2020 04:51:41: 5h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | noRecoil - 1
30.01.2020 04:51:47: 5h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | FastFire - 0
30.01.2020 04:51:48: 5h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | UnlimAmmo - 0
30.01.2020 04:51:49: 5h 41min | Boyevik Butch-Mac Volkev(76561198089960350) | noRecoil - 0
30.01.2020 04:52:11: 5h 42min | Boyevik Butch-Mac Volkev(76561198089960350) | UnlimAmmo - 1
30.01.2020 04:52:12: 5h 42min | Boyevik Butch-Mac Volkev(76561198089960350) | FastFire - 1
30.01.2020 04:52:18: 5h 42min | Boyevik Butch-Mac Volkev(76561198089960350) | FastFire - 0
30.01.2020 04:52:18: 5h 42min | Boyevik Butch-Mac Volkev(76561198089960350) | UnlimAmmo - 0
30.01.2020 04:53:41: 5h 43min | Carlos F. Diaz(76561197999316388) | HealRepairNear
30.01.2020 04:55:24: 5h 45min | Boyevik Butch-Mac Volkev(76561198089960350) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - d3s_wrx_sti_17
30.01.2020 04:57:12: 5h 47min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - d3s_charger_15_CPP
30.01.2020 04:57:41: 5h 47min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - d3s_charger_15_CPP
30.01.2020 04:58:10: 5h 48min | Wyclef(76561198038112694) | Teleport to [4013.41,2326.22,0](GPS: 040992)
30.01.2020 04:58:18: 5h 48min | Wyclef(76561198038112694) | Teleport to [4026.62,2330.92,0](GPS: 040992)
30.01.2020 04:58:30: 5h 48min | Wyclef(76561198038112694) | Teleport to [4300.77,2251.16,0](GPS: 043991)
30.01.2020 04:58:46: 5h 48min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Wyclef [CIV](76561198038112694)
30.01.2020 04:58:51: 5h 48min | Wyclef(76561198038112694) | Teleport to [4288.68,2242.09,0](GPS: 042991)
30.01.2020 05:11:18: 6h 1min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
30.01.2020 05:11:26: 6h 1min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - C_man_1
30.01.2020 05:11:35: 6h 1min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - C_man_1
30.01.2020 05:11:40: 6h 1min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
